Medal,Name,Sport,Event,Date
Gold,Carmen Brussig,Judo,Women 's 48 kg,30 August
Gold,Ramona Brussig,Judo,Women 's 52 kg,30 August
Gold,Markus Rehm,Athletics,Men 's long jump F42-44,31 August
Gold,Hannelore Brenner on Women of the World,Equestrian,Individual championship test grade III,2 September
Gold,Jochen Wollmert,Table tennis,Men 's individual class 7,2 September
Gold,Holger Nikelis,Table tennis,Men 's individual class 1,3 September
Gold,Sebastian Dietz,Athletics,Men 's discus throw F35-F36,3 September
Gold,Birgit Kober,Athletics,Women 's javelin throw F33/34/52/53,3 September
Gold,Hannelore Brenner on Women of the World,Equestrian,Individual freestyle test grade III,4 September
Gold,Tobias Graf,Cycling,Men 's road time trial C2,5 September
Gold,Michael Teuber,Cycling,Men 's road time trial C1,5 September
Gold,Andrea Eskau,Cycling,Women 's road time trial H4,5 September
Gold,Kirsten Bruhn,Swimming,Women 's 100 m breaststroke SB5,5 September
Gold,Birgit Kober,Athletics,Women 's shot put F32/33/34,6 September
Gold,Andrea Eskau,Cycling,Women 's road race H4,7 September
Gold,Daniela Schulte,Swimming,Women 's 400 m freestyle S11,7 September
Gold,Heinrich Popow,Athletics,Men 's 100 m T42,7 September
Gold,Women 's wheelchair basketball team Mareike Adermann Annabel Breuer Annegret Briessmann Britt Dillmann Heike Friedrich Maria Kühn Maya Lindholm Marina Mohnen ( captain ) Edina Müller Gesche Schünemann Johanna Welin Annika Zeyen,Wheelchair basketball,Women 's tournament,7 September
Silver,Manuela Schmermund,Shooting,Women 's 10 m air rifle standing SH1,30 August
Silver,Kirsten Bruhn,Swimming,Women 's 100 m backstroke S7,30 August
