#,Event,Date,Venue,Location
83,Glory 75 : Utrecht,"February 29 , 2020",Central Studios,"Utrecht , Netherlands"
82,Glory : Collision 2,"December 21 , 2019",GelreDome,"Arnhem , Netherlands"
81,Glory 73 : Shenzhen,"December 7 , 2019",Nanshan Culture & Sports Center,"Shenzhen , China"
80,Glory 72 : Chicago,"November 23 , 2019",Wintrust Arena,"Chicago , USA"
79,Glory 71 : Chicago,"November 22 , 2019",Wintrust Arena,"Chicago , USA"
78,Glory 70 : Lyon,"October 26 , 2019",Palais des Sports de Gerland,"Lyon , France"
77,Glory 69 : Düsseldorf,"October 12 , 2019",ISS Dome,"Düsseldorf , Germany"
76,Glory 68 : Miami,"September 28 , 2019",James L Knight Center,"Miami , USA"
75,Glory 67 : Orlando,"July 5 , 2019",Silver Spurs Arena,"Orlando , USA"
74,Glory 66 : Paris,"June 22 , 2019",Zénith Paris,"Paris , France"
73,Glory 65 : Utrecht,"May 17 , 2019",Central Studios,"Utrecht , Netherlands"
72,Glory 64 : Strasbourg,"March 9 , 2019",Rhénus Sport,"Strasbourg , France"
71,Glory 63 : Houston,"February 1 , 2019",Arena Theater,"Houston , USA"
70,Glory 62 : Rotterdam,"December 1 , 2018",Rotterdam Ahoy,"Rotterdam , Netherlands"
69,Glory 61 : New York,"November 2 , 2018",Hammerstein Ballroom,"New York City , USA"
68,Glory 60 : Lyon,"October 20 , 2018",Palais des Sports de Gerland,"Lyon , France"
67,Glory 59 : Amsterdam,"September 29 , 2018",Johan Cruyff Arena,"Amsterdam , Netherlands"
66,Glory 58 : Chicago,"September 15 , 2018",Sears Centre,"Hoffman Estates , USA"
65,Glory 57 : Shenzhen,"August 25 , 2018",Shenzhen Bay Sports Center,"Shenzhen , China"
64,Glory 56 : Denver,"August 10 , 2018",1stBank Center,"Broomfield , USA"
