Year,Performing artist ( s ),Work,Nominees
1992,Take 6,He Is Christmas,Mel Tormé - Ellington Medley from Mel and George Do World War II Natalie Cole - Long 'Bout Midnight from Garfield The Manhattan Transfer - The Offbeat of Avenues Shirley Horn - You Wo n't Forget Me
1993,Bobby McFerrin,Round Midnight from Play,Shirley Horn - Here 's to Life Abbey Lincoln - You Got ta Pay the Band Jimmy Scott - All the Way Take 6 - I 'm Always Chasing Rainbows from Glengarry Glen Ross
1994,Natalie Cole,Take a Look,Ernestine Anderson - Now and Then Shirley Horn - Light Out of Darkness Bobby McFerrin - The Pink Panther Theme Bobby Short with the Alden-Barrett Quintet - Swing That Music
1995,Etta James,Mystery Lady : Songs of Billie Holiday,"Dee Dee Bridgewater - Keeping Tradition Shirley Horn - I Love You , Paris Lena Horne - We 'll Be Together Again Cassandra Wilson - Blue Light 'til Dawn"
1996,Lena Horne,An Evening with Lena Horne,Dee Dee Bridgewater - Love and Peace : A Tribute to Horace Silver Kurt Elling - Close Your Eyes Abbey Lincoln - A Turtle 's Dream Dianne Reeves - Quiet After the Storm
1997,Cassandra Wilson,New Moon Daughter,"Ernestine Anderson - Blues , Dues and Love News Nnenna Freelon - Shaking Free Shirley Horn - The Main Ingredient Diana Krall - All for You"
1998,Dee Dee Bridgewater,Dear Ella,Kurt Elling - The Messenger Shirley Horn - Loving You Diana Krall - Love Scenes Mark Murphy - Song for the Geese
1999,Shirley Horn,I Remember Miles,Kurt Elling - This Time It 's Love Nnenna Freelon - Maiden Voyage Etta Jones - My Buddy - Etta Jones Sings the Songs of Buddy Johnson Dianne Reeves - That Day
2000,Diana Krall,When I Look in Your Eyes,Carla Cook - It 's All About Love Etta James - Heart of a Woman Dianne Reeves - Bridges Cassandra Wilson - Traveling Miles
2001,Dianne Reeves,In the Moment - Live in Concert,Dee Dee Bridgewater - Live at Yoshi 's Freddy Cole - Merry Go Round Kurt Elling - Live in Chicago Nnenna Freelon - Soulcall
2002,Dianne Reeves,The Calling : Celebrating Sarah Vaughan,"Mose Allison - The Mose Chronicles - Live in London , Vol . 1 Karrin Allyson - Ballads - Remembering John Coltrane Kurt Elling - Flirting with Twilight Shirley Horn - You 're My Thrill"
2003,Diana Krall,Live in Paris,Patti Austin - For Ella Natalie Cole - Ask a Woman Who Knows Etta Jones - Etta Jones Sings Lady Day Luciana Souza - Brazilian Duos
2004,Dianne Reeves,A Little Moonlight,Kurt Elling - Man in the Air Shirley Horn - May the Music Never End Aaron Neville - Nature Boy - The Standards Album Luciana Souza - North and South
2005,Nancy Wilson,"R.S.V.P . ( Rare Songs , Very Personal )",Andy Bey - American Song Jamie Cullum - Twentysomething Al Jarreau - Accentuate the Positive Queen Latifah - The Dana Owens Album
2006,Dianne Reeves,"Good Night , and Good Luck",Dee Dee Bridgewater - J'ai Deux Amours Nnenna Freelon - Blueprint of a Lady - Sketches of Billie Holiday Luciana Souza - Duos II Tierney Sutton - I 'm with the Band
2007,Nancy Wilson,Turned to Blue,Diana Krall - From This Moment On Karrin Allyson - Footprints Roberta Gambarini - Easy to Love Nancy King - Live at Jazz Standard with Fred Hersch
2008,Patti Austin,Avant Gershwin,Dee Dee Bridgewater - Red Earth Freddy Cole - Music Maestro Please Kurt Elling - Nightmoves Tierney Sutton - On the Other Side
2009,Cassandra Wilson,Loverly,Karrin Allyson - Imagina : Songs of Brazil Stacey Kent - Breakfast on the Morning Tram Kate McGarry - If Less is More ... Nothing is Everything Norma Winstone - Distances
2010,Kurt Elling,Dedicated to You : Kurt Elling Sings the Music of Coltrane and Hartman,Randy Crawford and Joe Sample - No Regrets Roberta Gambarini - So in Love Luciana Souza - Tide Tierney Sutton - Desire
2011,Dee Dee Bridgewater,Eleanora Fagan ( 1915-1959 ) : To Billie with Love from Dee Dee Bridgewater,Freddy Cole - Freddy Cole Sings Mr. B Denise Donatelli - When Lights are Low Lorraine Feather - Ages Gregory Porter - Water
