Year,Title,Role,Notes
1990,Psycho IV : The Beginning,Young Norman Bates,Television film
1992,A Taste for Killing,Cary Sloan,Television film
1995,Indictment : The McMartin Trial,Ray Buckey,Television film
1996,Riders of the Purple Sage,Bern Venters,Television film
1998,Moby Dick,Ishmael,Miniseries
1999,Happy Face Murders,Dylan McCarthy,Television film
2005,Masters of Horror,Jamie,Episode : Chocolate
2006,Stephen King 's Desperation,Peter Jackson,Television film
2006,Nightmares & Dreamscapes : From the Stories of Stephen King,Robert Fornoy,Episode : The End of the Whole Mess
2007-08,Without a Trace,Franklin Romar,2 episodes
2009,CSI : Crime Scene Investigation,Jeremy Kent,Episode : If I Had a Hammer
2011,The Mentalist,Thomas Lisbon,Episode : Where in the World is Carmine O'Brien ?
2013-14,Betrayal,T.J. Karsten,13 episodes
2015,Sons of Liberty,John Adams,Miniseries
2016,Law & Order : Special Victims Unit,Sean Roberts,Episode : Making a Rapist
2017,Better Things,Robin,4 episodes
2018-present,The Haunting of Hill House,Young Hugh Crain ( season 1 ) TBA ( season 2 ),"Series regular , first and second season"
2018,Girl in the Bunker,Vinson Filyaw,Television film
2020,FBI : Most Wanted,Dr. Justin Brock,Episode : Dopesick
2020,Stargirl,Charles McNider / Doctor Mid-Nite,Recurring role
