Medal,Name,Sport,Event
Gold,Ayoub Pourtaghi,Boxing,Men 's 81 kg
Gold,Maziar Farid-Khomami,Karate,Men 's kumite 70 kg
Gold,Fariborz Askari,Taekwondo,Men 's 70 kg
Gold,Nader Rahmati,Wrestling,Men 's freestyle 48 kg
Gold,Ali Akbarnejad,Wrestling,Men 's freestyle 68 kg
Gold,Behrouz Yari,Wrestling,Men 's freestyle 74 kg
Gold,Amir Reza Khadem,Wrestling,Men 's freestyle 82 kg
Gold,Rasoul Khadem,Wrestling,Men 's freestyle 90 kg
Gold,Ebrahim Mehraban,Wrestling,Men 's freestyle 130 kg
Silver,Mohammad Reza Samadi,Boxing,Men 's +91 kg
Silver,Mahmoud Miran,Judo,Men 's +95 kg
Silver,Arash Javanshir,Karate,Men 's kumite 65 kg
Silver,Saeid Ashtian,Karate,Men 's kumite 75 kg
Silver,Ebrahim Saadati,Taekwondo,Men 's 76 kg
Silver,Farzad Zarakhsh,Taekwondo,Men 's +83 kg
Silver,Ayoub Baninosrat,Wrestling,Men 's freestyle 100 kg
Silver,Reza Simkhah,Wrestling,Men 's Greco-Roman 48 kg
Silver,Hassan Babak,Wrestling,Men 's Greco-Roman 90 kg
Bronze,Anoushiravan Nourian,Boxing,Men 's 67 kg
Bronze,Bahman Azizpour,Boxing,Men 's 91 kg
