Medal,Name,Games,Sport,Event,Date
Bronze,Jafar Salmasi,1948 London,Weightlifting,Men 's 60 kg,01 9 August 1948
Bronze,Mahmoud Mollaghasemi,1952 Helsinki,Wrestling,Men 's freestyle 52 kg,02 23 July 1952
Bronze,Abdollah Mojtabavi,1952 Helsinki,Wrestling,Men 's freestyle 73 kg,03 23 July 1952
Silver,Gholamreza Takhti,1952 Helsinki,Wrestling,Men 's freestyle 79 kg,04 23 July 1952
Silver,Nasser Givehchi,1952 Helsinki,Wrestling,Men 's freestyle 62 kg,05 23 July 1952
Bronze,Jahanbakht Tofigh,1952 Helsinki,Wrestling,Men 's freestyle 67 kg,06 23 July 1952
Silver,Mahmoud Namjoo,1952 Helsinki,Weightlifting,Men 's 56 kg,07 25 July 1952
Bronze,Ali Mirzaei,1952 Helsinki,Weightlifting,Men 's 56 kg,08 25 July 1952
Bronze,Mahmoud Namjoo,1956 Melbourne,Weightlifting,Men 's 56 kg,09 23 November 1956
Silver,Mehdi Yaghoubi,1956 Melbourne,Wrestling,Men 's freestyle 57 kg,10 1 December 1956
Silver,Mohammad Ali Khojastehpour,1956 Melbourne,Wrestling,Men 's freestyle 52 kg,11 1 December 1956
Gold,Emam-Ali Habibi,1956 Melbourne,Wrestling,Men 's freestyle 67 kg,12 1 December 1956
Gold,Gholamreza Takhti,1956 Melbourne,Wrestling,Men 's freestyle 87 kg,13 1 December 1956
Bronze,Mohammad Paziraei,1960 Rome,Wrestling,Men 's Greco-Roman 52 kg,14 31 August 1960
Silver,Gholamreza Takhti,1960 Rome,Wrestling,Men 's freestyle 87 kg,15 6 September 1960
Bronze,Ebrahim Seifpour,1960 Rome,Wrestling,Men 's freestyle 52 kg,16 6 September 1960
Bronze,Esmaeil Elmkhah,1960 Rome,Weightlifting,Men 's 56 kg,17 7 September 1960
Bronze,Ali Akbar Heidari,1964 Tokyo,Wrestling,Men 's freestyle 52 kg,18 14 October 1964
Bronze,Mohammad Ali Sanatkaran,1964 Tokyo,Wrestling,Men 's freestyle 78 kg,19 14 October 1964
Gold,Mohammad Nassiri,1968 Mexico City,Weightlifting,Men 's 56 kg,20 13 October 1968
