Name,Area ( km² ),Rank ( area ),Permanent Population,Rank ( pop . ),Country
Anglesey,675,01,"56,092",02,Wales
Isle of Man,572,02,"84,497",01,Isle of Man
Holy Island,39,03,"13,579",03,Wales
Walney Island,13,04,"11,388",04,England
Lambay Island,5.54,05,< 10,08,Republic of Ireland
Bull Island,3,06,< 20,07,Republic of Ireland
Ramsey Island,2.58,07,0,-,Wales
Bardsey Island,1.79,09,< 5,10,Wales
Calf of Man,2.50,08,0,-,Isle of Man
Barrow Island,1.50,-,"2,616",05,England
Roa Island,0.03,-,100,06,England
Ynys Gaint,0.04,-,< 10,08,Wales
Piel Island,0.20,-,< 5,10,England
Ynys Castell,0.006,-,< 5,10,Wales
Ynys Gored Goch,0.004,-,< 5,10,Wales
