Language,Family,Speakers,Distribution
Aheu,Mon-Khmer,750,Sakhon Nakhon
Eastern Bru,Mon-Khmer,"5,000",Sakhon Nakhon
Western Bru,Mon-Khmer,"20,000","Mukdahan , Amnatcharoen , Ubon"
Khmer Surin,Mon-Khmer,"1,000,000","Surin , Sisaket , Buriram , Khorat"
Kuy,Mon-Khmer,"300,000","Buriram , Surin , Sisaket , Ubon , Roi Et"
Nyah Kur,Mon-Khmer,"1,500","Khorat , Chaiyaphum"
Nyaw,Tai-Kadai,"50,000","Sakon Nakhon , Nong Khai , Nakhon Phanom"
Nyeu,Mon-Khmer,200,Sisaket
Phu Thai,Tai-Kadai,"156,000","Nakhon Phanom , Ubon , Kalasin , Sakhon Nakhon"
Phuan,Tai-Kadai,"200,000","Udon , Loei"
Saek,Tai-Kadai,"11,000",Nakhon Phanom
So,Mon-Khmer,"55,000","Nakhon Phanom , Sakhon Nakhon , Nong Khai , Kalasin"
Tai Dam,Tai-Kadai,"20,000","Nong Khai , Khorat , Loei ( plus Saraburi )"
Yoy,Tai-Kadai,"5,000",Sakhon Nakhon
