Year,Result,Venue,City,Attendance
2002,"Red 121 , White 167",MCI Center,"Washington , D.C","7,472"
2003,"Black 102 , Silver 107",MCI Center,"Washington , D.C","18,424"
2004,"Away 107 , Home 96",Comcast Center,"College Park , MD","9,275"
2005,"Gray 127 , White 126",Madison Square Garden,"New York City , NY",N/A
2006,"Black 95 , White 108",Madison Square Garden,"New York City , NY",N/A
2007,"Royal 119 , Yellow 127",Madison Square Garden,"New York City , NY",N/A
2008,"Blue 124 , White 114",Madison Square Garden,"New York City , NY",N/A
2009,"Black 110 , White 103",Madison Square Garden,"New York City , NY",N/A
2010,"East 125 , West 129",Madison Square Garden,"New York City , NY","15,075"
2011,"East 113 , West 109",Time Warner Cable Arena,"Charlotte , NC",N/A
2012,"East 95 , West 99",Time Warner Cable Arena,"Charlotte , NC",N/A
2013,"East 98 , West 102",Barclays Center,"Brooklyn , NY",N/A
2014,"East 158 , West 147",Barclays Center,"Brooklyn , NY",N/A
2015,"East 116 , West 118",Barclays Center,"Brooklyn , NY",N/A
2016,"East 131 , West 117",Barclays Center,"Brooklyn , NY",N/A
2017,"East 116 , West 124",Barclays Center,"Brooklyn , NY",N/A
2018,"Black 136 , White 146",Barclays Center,"Brooklyn , NY",N/A
2019,"Black 125 , White 132",T-Mobile Arena,"Paradise , NV",N/A
