Team,Home city,Stadium,Capacity
Aktobe,Aktobe,Central Stadium ( Aktobe ),"13,200"
Astana,Nur-Sultan,Astana Arena,"30,244"
Atyrau,Atyrau,Munayshy Stadium,"8,690"
Irtysh Pavlodar,Pavlodar,Pavlodar Central Stadium,"15,000"
Kairat,Almaty,Central Stadium ( Almaty ),"23,804"
Kaisar,Kyzylorda,Gany Muratbayev Stadium,"7,500"
Okzhetpes,Kokshetau,Okzhetpes Stadium,"4,158"
Ordabasy,Shymkent,Kazhymukan Munaitpasov Stadium,"37,000"
Shakhter Karagandy,Karaganda,Shakhter Stadium ( Karagandy ),"19,000"
Taraz,Taraz,Taraz Central Stadium,"12,525"
Tobol,Kostanay,Kostanay Central Stadium,"10,500"
Zhetysu,Taldykorgan,Zhetysu Stadium,"4,000"
