Year,Winner ( s ),Work,Nominees
2000,Luis Miguel · produced by Luis Miguel · engineered/mixed by Al Schmitt and Rafa Sardina,Amarte Es Un Placer,"Juan Luis Guerra - Ni Es Lo Mismo Ni Es Igual ( Guerra , producer ; Carlos Alvarez , Mike Couzzi , Bolivar Gómez , Miguel Hernández , Luis Mansilla , Carlos Ordehl , Eric Ramos , July Ruiz , Eric Schilling , engineers/mixers ) Caetano Veloso - Livro ( Jaques Morelenbaum , Veloso , producers ; Moogie Canazio , engineer/mixer ) Carlos Vives - El Amor de Mi Tierra ( Emilio Estefan , Juan Vicente Zambrano , producers ; Marcelo Añez , Scott Canto , Alfred Figueroa , Javier Garza , Sebastian Krys , Carlos Nieto , Freddy Piñero , Jr. , Carlos Santos , Cesar Sogbe , Ron Taylor , engineers/mixers ) Shakira - MTV Unplugged ( Tim Mitchell , Shakira , producers ; Adam Blackburn , Eric Shilling , engineers/mixers )"
2001,"Alejandro Sanz · produced by Emanuele Ruffinengo · engineered/mixed by Joel Numa , Roberto Cantele and Roberto Maccagno",El Alma al Aire,"Vicente Amigo - Ciudad de las Ideas ( Amigo , producer ; Boris Alarcón , Antonio Algarrada , Oscar Clavel , Nigel Walker , engineers/mixers ) Gilberto Gil - As Canções de Eu Tu Eles ( Gil , producer ; Vitor Farias , Marcelo Machado , Nas Nuvens , engineers/mixers ) Juanes - Fíjate Bien ( Gustavo Santaolalla , producer ; Anibal Kerpel , Thom Russo , engineers/mixers ) Paulina Rubio - Paulina ( Marcello Azevedo , producer ; Silvio Richetto , engineers/mixers )"
2002,"Alejandro Sanz · produced by Humberto Gatica · engineered/mixed by Kenny O'Brien , Chris Brook , and Eric Schilling",MTV Unplugged,"Miguel Bosé - Sereno ( Peter Walsh , producer ; Alessandro Benedetti , Walsh , engineer/mixer ) Celia Cruz - La Negra Tiene Tumbao ( Sergio George , Isidro Infante , Johnny Pacheco , producers ; Mario de Jesús , Jon Fausty , engineer/mixer ) Ivan Lins - Jobiniando ( Roberto Menescal , producer ; Guiherme Reis , engineer/mixer ) Carlos Vives - Déjame Entrar ( Vives , Andrés Castro , Emilio Estefan , Sebastian Krys , producers ; Javier Garza , Krys , engineers/mixers )"
2003,"Juanes · produced by Gustavo Santaolalla · engineered/mixed by Anibal Kerpel , Joe Chiccarelli and Thom Russo",Un Día Normal,"Bacilos - Caraluna ( Sergio George , Bacilos , Luis F. Ochoa , Gonzalo Vazquez , producers ; Gustavo Afont , Fausty , Iker Gastraminsa , Jaime Lagueruela , Bob St. John , Eric Schilling , Vasquez , engineer/mixer ) Rubén Blades - Mundo ( Blades , Walter Flores , Edín Solís , producers ; Flores , Oscar Marín , Daniela Pastore , Solís , engineers/mixers ) Alexandre Pires - Estrella Guía ( Danilo Ballo , Antonio Carmona , Pedro Ferreira , Fernando Illan , Rey Nerio , Rudy Pérez , Pires , Julio Reyes , Emanuele Ruffinengo , Juan Vicente Zambrano , producers ; Carlos Álvarez , Alex Angeloni , Danilo Ballo , Bob Benozzo , Andres Bermúdez , Nico Bloise , Gustavo Celis , Roberto Il Mac Maccagno , Duda Mello , Freddy Piñero , Jr. , Edu Recife , Enrico Romano , Emanuele Ruffinengo , Hector Sagrario , Richard Serotta , Felipe Tichauer , Bruce Weeden , Bruno Zucchetti , engineers/mixers ) Tribalistas - Tribalistas ( Arnaldo Antunes , Carlinhos Brown , Marisa Monte , Alé Siqueira , producers ; Monte , Flavio De Souza , William Jr. , Antoine Midani , Siqueira , engineers/mixers )"
2004,"Alejandro Sanz · produced by Lulo Pérez · engineered/mixed by Mick Guzauski , Pepo Sherman and Rafa Sardina",No Es Lo Mismo,"Bebo & Cigala - Lágrimas Negras ( Javier Limón , Fernando Trueba , producers ; Jim Anderson , Guillaume Cora , Limón , Pepe Loeches , Eric Schilling , engineer/mixer ; Alan Silverman , mastering engineer ) Café Tacvba - Cuatro Caminos ( Café Tacvba , Dave Fridmann , Gustavo Santaolalla , Andrew Weiss , producers ; Joe Chiccarelli , Fridmann , Aníbal Kerpel , Tony Peluso , Luis Román , Weiss , engineers/mixers ; Tom Baker , mastering engineer ) Kevin Johansen - Sur o No Sur ( Pelu Romero , Javier Tenenbaum , producers ; Osqui Amante , engineer/mixer ; Andrés Mayo , mastering engineer ) Maria Rita - Maria Rita ( Tom Capone , Marco da Costa , Maria Rita , producers ; Álvaro Alencar , Capone , engineers/mixers ; Ricardo Garcia , mastering engineer )"
2005,Ivan Lins · produced by Moogie Canazio · engineered/mixed by Luiz Tornaghi · mastered by Luiz Tornaghi,Cantando Histórias,"Bebe - Pafuera Telarañas ( Carlos Jean , producer ; José Luis Crespo , Raúl Quílez , engineers/mixers ; Crespo mastering engineer ) Obie Bermúdez - Todo el Año ( Sebastian Krys , Joel Someillan , producers ; Mike Couzzi , Javier Garza , Kyrs , Someillan , engineers/mixers ; Antonio Baglio , mastering engineer ) Intocable - X ( Pepe Aguilar , Carlos Cabral Jr. , Jason Cano , Alex Espinoza , Chuy Flores , Kinky , Jorge Lares Amaro , René Martínez , Ricardo Muñoz , Sacha Triujeque , producers ; Isaías Asbun , Seth Horan Atkins , Carlos Castro , Gilberto Elguezabal , Chuy Flores , René Garza , Norberto Islas , Jorge Lares Amaro , Justin Leah , Marco Ramírez , Jack Sáenz III , Triujeque , engineers/mixers ; Don Tyler , mastering engineer ) Diego Torres - MTV Unplugged ( Torres , Afo Verde , producers ; Gustavo Borner , engineers/mixers ; Borner , mastering engineer )"
2006,"Shakira · produced by Léster Méndez · engineered/mixed by Gustavo Celis , Kevin Killen and Ron Jabobs · mastered by Luiz Tornaghi",Fijación Oral Vol . 1,"Gustavo Cerati - Ahí Vamos ( Cerati , Tweety González , producers ; Héctor Castillo , Uriel Dorfman , González , engineers/mixers ; Howie Weinberg , mastering engineer ) Chayanne - Cautivo ( Gustavo Arenas , Carlos De Yarza , Javier Díaz , John Falcone , Freddy Piñero , Jr. , Carlos Ponce , Joel Someillan , René Toledo , producer ; Carlos Álvarez , Carlos Bedoya , Javier Garza , Juan Cristóbal Losada , Patricia Masterson , Freddy Piñero , Jr. , Mike Rivera , Andrés Saavedra , César Sogbe , Joel Someillan , Woody Woodruff , engineers/mixers ; Vlado Meller , mastering engineer ) León Gieco - Por Favor , Perdón y Gracias ( Gieco , Luis Gurevich , producers ; Osqui Amante , Gustavo Borner , engineers/mixers ; Tom Baker , mastering engineer ) Julieta Venegas - Limón y Sal ( Cachorro López , producer ; Sebastián Schon , Cesar Sogbe , Coti Sorokin , Matías Sorokin , engineers/mixers ; José Blanco , mastering engineer )"
2007,"Juan Luis Guerra · produced by Allan Leschhorn · engineered/mixed by Allan Leschhorn , Luis Mansilla , Ronnie Torres · mastered by Adam Ayan",La Llave de Mi Corazón,"Miguel Bosé and Various Artists - Papito ( Bosé , Carlos Jean , Andres Levin , Sandy McLelland , Nicolas Sorín , producers ; Bori Alarcón , Carlos Alvarez , Andy Bradfield , Miguel Bustamante , Gustavo Celis , José Luis Crespo , Dan Duzla , Goodandevil , Carlos Hernández , Levin , Sandy McLelland , Phil Mezzetti , Robert A. Moses , Geof Sanoff , Pepo Scherman , Carl Thiel , engineers/mixers ; Nautilus , Milan , mastering engineer ) Calle 13 - Residente o Visitante ( Juan Campodónico , Antonio Toy Hernández , Edgar Abraham Marrero , Panasuyo , Gustavo Santaolalla , Visitante , producers ; Felipe Álvarez , Iván Gutiérrez , Ramón Martínez , Edgardo Matta , Carlos Velázquez , engineer/mixer ; James Cruz , mastering engineer ) Ricky Martin - MTV Unplugged ( Tommy Torres , producer ; Gustavo Borner , Bob Clearmountain , engineer/mixer ; Ted Jensen , mastering engineer ) Alejandro Sanz - El Tren de los Momentos ( Lulo Pérez , Sanz , producers ; Carlos Álvarez , Gustavo Celis , Pérez , Thom Russo , Sanz , Rafa Sardina , Pepo Scherman , engineer/mixer ; Stephen Marcussen , mastering engineer )"
2008,"Juanes · produced by Gustavo Santaolalla · engineered/mixed by Steve Churchyard , Jorge da Silva , Anibal Kerpel and Thom Russo · mastered by Tom Baker",La Vida ... Es un Ratico,"Concha Buika - Niña de Fuego ( Javier Limón , producer ; Oscar Clavel , Melisa Nanni , engineers/mixers ; Alan Silverman , mastering engineer ) Café Tacvba - Sino ( Café Tacvba , Tony Peluso , Gustavo Santaolalla , producers ; Emmanuel del Real , Peluso , engineers/mixers ; Tom Baker , mastering engineer ) Vicente Fernández - Para Siempre ( Joan Sebastian , Jesús Rincón Cárdenas , producers ; Dennis Parker , engineer/mixer ; Parker , mastering engineer ) Kany García - Cualquier Día ( Guillermo Gil , Pancho Ruíz , Mario Santos , producers ; Gil , engineer/mixer ; Güicho Gil , mastering engineer )"
2009,"Calle 13 · produced by Rafael Arcaute , Eduardo Cabra , Ivan Gutiérrez , Edgardo Matta and René Pérez · engineered/mixed by Rodrigo Barria , Cesar Dellano , Ivan Gutierrez , Guillermo Mandrafina , Carlos Velazquez , Ramón Martínez and Omar Vivoni · mastered by James Cruz",Los de Atrás Vienen Conmigo,"Andrés Cepeda - Día Tras Día ( Fredy Camelo Salamanca , Cepeda , producers ; Toño Castillo , Eduardo De Narváez , Keith Morrison , Javier Soto , engineers/mixers ; Mike Fuller , mastering engineer ) Luis Enrique - Ciclos ( Bob Benozzo , Sergio George , producers ; Carlos Álvarez , Juan Mario Mayito Aracil , Benozzo , Simone Chivilo , Roberto II Mac Maccagno , Andrea Valfre , engineers/mixers ; Tom Coyne , mastering engineer ) Ivan Lins & The Metropole Orchestra - Regência : Vince Mendoza ( Lins , Vince Mendoza , producers ; Rich Green , Paul Pouwer , engineers/mixers ; Breen , mastering engineer ) Mercedes Sosa - Cantora 1 ( Popi Spatocco , producer ; Gustavo Celis , Matía Cella , Jorge da Silva , Aníbal Kerpel , Sebastián Merlín , Alejandro Saro , Bruno Stehling , engineers/mixers ; Ariel Lavignia , mastering engineer )"
