Score,Nation/record,Shooter,Date,Place
594,World record,Jin Jong-oh ( KOR ),12 Apr 2009,"Changwon , South Korea"
594,Asian record,Jin Jong-oh ( KOR ),12 Apr 2009,"Changwon , South Korea"
594,South Korea,Jin Jong-oh,12 Apr 2009,Changwon
593,European record,Sergei Pyzhianov ( URS ),13 Oct 1989,"Munich , West Germany"
592,Germany,Uwe Potteck,8 Jan 1999,Luxembourg
592,Italy,Roberto Di Donna,,
591,Sweden,Ragnar Skanåker,14 Jan 1990,Luxembourg
591,Ukraine,Viktor Makarov,1994,Simferopol
591,Japan,Naka Shigekatsu,15 Dec 1995,Asaka
591,China,Tan Zongliang,15 Nov 1995,Nanning
591,Olympic record,Mikhail Nestruyev ( RUS ),14 Aug 2004,"Athens , Greece"
591,China ( equalled ),Tan Zongliang,12 Jun 2005,"Munich , Germany"
591,Belarus,Yury Dauhapolau,9 Nov 2007,Brest
590,Poland,Jerzy Pietrzak,28 Jan 1993,"Munich , Germany"
590,Great Britain,Mick Gault,Mar 2000,Inverclyde
590,Poland ( equalled ),Wojciech Knapik,17 Feb 2007,Wrocław
590,Brazil,Julio Antonio de Souza e Almeida,21 Oct 2010,Rio de Janeiro
589,Iceland,Ásgeir Sigurgeirsson,2 May 2013,Reykjavík
589,United States,Reuben Hafter,18 Aug 1990,
589,Czech Republic,Martin Tenk,16 Dec 2000,Brno
