Code,Official Team Name,Country,Website
GEW,Orica-AIS,Australia,greenedgecycling.com
SQS,Squadra Scappatella,Austria,
CZT,Cyclelive Plus-Zannata,Belgium,
LBL,Lotto Belisol Ladies,Belgium,lottobelisol.be
SLT,Sengers Ladies Cycling Team,Belgium,sengerslct.be
VLL,Topsport Vlaanderen-Bioracer,Belgium,
GKS,GSD Gestion-Kallisto,Canada,
BPD,Bizkaia-Durango,Spain,
LKT,Lointek,Spain,
BCF,Bourgogne-Pro Dialog,France,
FUT,Vienne Futuroscope,France,teampolaris.nl
WHT,Wiggle-Honda ( 2013 season ),United Kingdom,wigglehonda.com
GPC,China Chongming-Giant Pro Cycling,Hong Kong,cycling-sports.com
BPK,BePink,Italy,bepink.eu
FLF,Faren Kuota,Italy,
MCG,MCipollini Giordana,Italy,mcipollinigiordanateam.com
MIC,S.C. Michela Fanini-Rox,Italy,michelafanini.com
SEF,Servetto Footon,Italy,
TOG,Top Girls Fassa Bortolo,Italy,
VAI,Vaiano Fondriest,Italy,vcvaiano.com
