Grand Final,Champions,Runners-up
2006,Sydney FC,Central Coast Mariners
2007,Melbourne Victory,Adelaide United
2008,Newcastle Jets,Central Coast Mariners
2009,Melbourne Victory ( 2 ),Adelaide United
2010,Sydney FC ( 2 ),Melbourne Victory
2011,Brisbane Roar,Central Coast Mariners
2012,Brisbane Roar ( 2 ),Perth Glory
2013,Central Coast Mariners,Western Sydney Wanderers
2014,Brisbane Roar ( 3 ),Western Sydney Wanderers
2015,Melbourne Victory ( 3 ),Sydney FC
2016,Adelaide United,Western Sydney Wanderers
2017,Sydney FC ( 3 ),Melbourne Victory
2018,Melbourne Victory ( 4 ),Newcastle Jets
2019,Sydney FC ( 4 ),Perth Glory
