Year,Title,Director,Genre
1952,The Boy Kumasenu,Sean Graham,
1980,Love Brewed in the African Pot,Kwaw Ansah,
1987,Zinabu,William Akuffo and Richard Quartey,
1993,Sankofa,Haile Gerima,drama
2005,Emmanuel 's Gift,,documentary
2006,Run Baby Run,Emmanuel Apea,action
2006,A Goat 's Tail,Julius Amedume,
2007,Princess Tyra,Frank Rajah Arase,drama
2009,A Sting in a Tale,Shirley Frimpong-Manso,thriller
2010,Coz Ov Moni,King Luu,musical
2010,Sinking Sands,Leila Djansi,drama
2011,An African Election,Jarreth and Kevin Merz,documentary
2011,Ties That Bind,Leila Djansi,drama
2012,Contract,Shirley Frimpong-Manso,
2013,Coz Ov Moni 2 ( FOKN Revenge ),King Luu,musical
2015,Heaven,Abu Idi - Haus of Euphorium,thriller
