Title,Release date,Time period,Notes on setting
The Last Woman of Shang,1964,1075-1046 BC,"a Hong Kong film about Daji , a concubine of King Zhou of Shang"
Sacrifice,2010,607-581 BC,"based on the play The Orphan of Zhao , set in the Jin state during the Spring and Autumn period"
Confucius,1940,551-479 BC,"thought to be a lost film , but was rediscovered in 2001 and restored"
Confucius,2010,505-479 BC,starring Chow Yun-fat as Confucius
Little Big Soldier,2010,475-221 BC,"an action-comedy film set in the Warring States period , about a war between the Liang and Wey states"
A Battle of Wits,2006,375-369 BC,set in the reign of King Lie of Zhou
The Warring States,2011,ca . 316 BC,"set in the Warring States period ( 475-221 BC ) , loosely based on the rivalry between Sun Bin ( d. 316 BC ) and Pang Juan ( d. 342 BC )"
The Emperor 's Shadow,1996,259-210 BC,about a troubled friendship between Qin Shi Huang and the musician Gao Jianli
Wheat,2009,260 BC,the story of women left behind when their husbands went to war during the Battle of Changping
The Emperor and the Assassin,1998,227 BC,based on the assassination attempt by Jing Ke on Qin Shi Huang
The Great Conqueror 's Concubine,1994,206-202 BC,a Hong Kong film set in the Chu-Han Contention
White Vengeance,2011,206-202 BC,loosely based on the Feast at Hong Gate and events in the Chu-Han Contention
The Last Supper,2012,206-202 BC,based on events in the Chu-Han Contention
Red Cliff,2008,winter of 208-209,epic war film based on the Battle of Red Cliffs
The Assassins,2012,210,The film is set in China in the late 210s - the years preceding the end of the Han dynasty
The Lost Bladesman,2011,219,a Hong Kong film loosely based on the story of Guan Yu ( d. 219 ) in the novel Romance of the Three Kingdoms
Three Kingdoms : Resurrection of the Dragon,2008,229,"a Hong Kong film about Zhao Yun , loosely based on parts of the novel Romance of the Three Kingdoms"
An Empress and the Warriors,2008,ca . 350,set in the Former Yan during the Sixteen Kingdoms period
Mulan,2009,ca . 386-534,based on the legend of Hua Mulan
Mulan Joins the Army,1939,ca . 567-571,based on the legend of Hua Mulan
