Year,Winner,Position,School
2018-19,Joseph Duszak,Defenceman,Mercyhurst
2017-18,Dylan McLaughlin,Forward,Cansius
2016-17,Charles Williams,Goaltender,Cansius
2015-16,Zac Lynch,Right Wing,Robert Morris
2014-15,Matt Garbowsky,Center,RIT
2013-14,Jimmy Sarjeant,Goaltender,Mercyhurst
2012-13,Carsen Chubak,Goaltender,Niagara
2011-12,Tim Kirby,Defenceman,Air Force
2010-11,Paul Zanette,Left Wing,Niagara
2009-10,Cory Conacher,Left Wing,Canisius
2008-09,Jacques Lamoureux,Center,Air Force
2007-08,Josh Kassel,Goaltender,Army
2006-07,Eric Ehn,Forward,Air Force
2005-06,Tyler McGregor,Right Wing,Holy Cross
2004-05,Reid Cashman,Defenceman,Quinnipiac
2003-04,Tim Olsen,Forward,Connecticut
