Title,Director,Cast ( subject of documentary ),Genre,Notes,Release date
10 Terrorists,Dee McLachlan,"Jackie Diamond , Sachin Joab , Richard Cawthorne , Kendal Rae , Matt Hetherington",Comedy,The Picture Tank,29 March
100 Bloody Acres,"Colin Cairnes , Cameron Cairnes","Angus Sampson , Damon Herriman , Oliver Ackland , Anna McGahan","Comedy , horror",Hopscotch International Doppelganger Releasing,4 August
Any Questions for Ben ?,Rob Sitch,"Josh Lawson , Rachael Taylor , Daniel Henshall , Felicity Ward , Lachy Hulme , Ed Kavalee",Comedy,Roadshow Films,9 February
Bait 3D,Kimble Rendall,"Sharni Vinson , Phoebe Tonkin , Xavier Samuel , Julian McMahon , Cariba Heine , Lincoln Lewis",Horror,Paramount Pictures,20 September
Bathing Franky,Owen Elliot,"Jancita Day , Bree Desborough , Shaun Goss , Brendan Madigan",Drama,Titan View,26 May
Black & White & Sex,John Winter,"Katherine Hicks , Anya Beyersdorf , Valerie Bader , Roxane Wilson",Drama,Titan View,27 January
Careless Love,John Duigan,"Nammi Le , Penny McNamee , Ivy Mak , David Field , Jeff Truman",Drama,Antidote Films,17 May
Crawlspace,Justin Dix,"Eddie Baroo , Nicholas Bell , John Brumpton , Ditch Davey , Peta Sergeant","Action , horror",Gryphon Entertainment,11 October
Dead Europe,Tony Krawitz,"Ewen Leslie , Marton Csokas , Kodi Smit-McPhee , Jean-François Balmer",Drama,Transmission Films,14 June
Housos vs. Authority,Paul Fenech,"Elle Dawe , Jabba , Paul Fenech , Russell Gilbert , Alex Romano , Kev Taumata , Vanessa Davis",Comedy,Transmission Films Based on the TV series,1 November
Isolate,Martyn Park,"Jacinta John , Terry Serio , Stephen Anderton","Drama , horror",Titan View,22 August
Kath & Kimderella,Ted Emery,"Gina Riley , Jane Turner , Magda Szubanski , Glenn Robbins , Peter Rowsthorn , Rob Sitch , Barry Humphries , Alex Perry",Comedy,Roadshow Films Based on the TV series,6 September
The King is Dead,Rolf de Heer,"Roman Vaculik , Michaela Cantwell , Lily Adey , Nathan Hoare , Kerry Ann Reid","Comedy , Thriller",Pinnacle Films,12 July
Last Dance,David Pulbrook,"Firass Dirani , Julia Blake , Alan Hopgood",Thriller,Becker Films,19 August
Mental,P. J. Hogan,"Toni Collette , Anthony LaPaglia , Rebecca Gibney , Lily Sullivan , Bethany Whitmore",Comedy,Universal Pictures,4 October
Not Suitable for Children,Peter Templeman,"Ryan Kwanten , Sarah Snook , Ryan Corr , Bojana Novakovic",Romantic comedy,Icon Film Distribution,December 7
The Sapphires,Wayne Blair,"Chris O'Dowd , Deborah Mailman , Jessica Mauboy , Shari Sebbens",Musical comedy,Hopscotch Films Based on the stage play of the same name by Tony Briggs,9 August
Satellite Boy,Catriona McKenzie,"David Gulpilil , Cameron Wallaby , Joseph Pedley , Rohanna Angus",Drama,Satellite Films,10 December
Save Your Legs !,Boyd Hicklin,"Damon Gameau , Stephen Curry , Brendan Cowell , Brenton Thwaites",Comedy,Madman Entertainment,19 August
Scumbus,Luke Tierney,"Ed Kavalee , Toby Truslove , Lachy Hulme , Henry Nixon , Christian Clark , Glenn Robbins",Comedy,,10 November
