Date,Name,Moving from,Moving to,Fee
End of 2011-12 season,Shlomi Arbeitman,Westerlo,Gent,Loan Return
End of 2011-12 season,Sherwin Bailey,ASD Cape Town,Lokeren,Undisclosed
End of 2011-12 season,Logan Bailly,Genk,Mönchengladbach,Loan Return
End of 2011-12 season,Amido Baldé,Cercle Brugge,Sporting Lisbon,Loan Return
End of 2011-12 season,Jeremy Bokila,Sparta,Zulte Waregem,Loan Return
End of 2011-12 season,Thomas Chatelle,Anderlecht,Free Agent,End of Contract
End of 2011-12 season,Pablo Chavarría,Kortrijk,Anderlecht,Loan Return
End of 2011-12 season,Koen Daerden,Standard Liège,Sint-Truiden,Loan Return
End of 2011-12 season,Kevin De Bruyne,Genk,Chelsea,Loan Return
End of 2011-12 season,Radek Dejmek,OH Leuven,Slovan Liberec,Loan Return
End of 2011-12 season,Christophe Diandy,OH Leuven,Anderlecht,Loan Return
End of 2011-12 season,Mikkel Diskerud,Gent,Stabæk,Loan Return
End of 2011-12 season,Luciano Dompig,Cercle Brugge,Free Agent,End of Contract
End of 2011-12 season,Serge Gakpé,Standard Liège,Nantes,Loan Return
End of 2011-12 season,Sacha Iakovenko,OH Leuven,Anderlecht,Loan Return
End of 2011-12 season,Patou Kabangu,Anderlecht,Free Agent,End of Contract
End of 2011-12 season,Nathan Kabasele,Westerlo,Anderlecht,Loan Return
End of 2011-12 season,Thomas Kaminski,OH Leuven,Anderlecht,NA
End of 2011-12 season,Pierre Koulibaly,Sint-Niklaas,Mechelen,Loan Return
End of 2011-12 season,Alexander Mathisen,Lierse,Free Agent,End of Contract
