Name,Class year ( s ),Notability
Butch Otter,1964,Former Governor of Idaho ; former U.S . Congressman and four-term Lieutenant Governor of Idaho
Mike O'Callaghan,1950,Former Governor of Nevada and Executive Director of The Las Vegas Sun ; won the Bronze Star in Korea
Tom Luna,1985,Former Superintendent of Public Instruction for the State of Idaho
Bill Sali,1981,Former U.S . Congressman and eight-term Representative in the Idaho Legislature
Edward Lodge,1955,Federal Judge on the United States District Court for the District of Idaho
Robert Bakes,1952,Former Chief Justice of the Idaho Supreme Court
Sergio Gutierrez,1980,Judge on the Idaho Court of Appeals
Celia Gould,1979,Director of the Idaho Department of Agriculture ; former eight-term Idaho State Legislator
Jack Kane,1970,Former Major General in the United States Army and Commander of the Idaho National Guard
Kate Kelly,1991,Senate Minority Leader in the Idaho Legislature
Mary Pearson,1979,Former Chief Judge of the Northwest Intertribal Court System ; Chief Judge of the Coeur d'Alene Tribe
John Zapp,1957,"Former Director , American Dental Association and American Medical Association"
Marilyn Shuler,1977,Director of the Idaho Human Rights Commission ; President of the Idaho Human Rights Education Center
Betty Deddoch Stadler,1941,Founder of Idaho Mothers Against Drunk Driving ; developer and owner of the Shadow Valley Golf Course
Bethine Church,1943,Widow of U.S . Senator Frank Church ; Democratic political organizer ; winner of the Lawrence O'Brien Award
Steve GROVER Groves,1998,"United States Navy , Commanding Officer , VTC-21 , 2017-2018"
