Name,Class year ( s ),Degree ( s ),Notability
Neil L. Andersen,,,Member of the Quorum of the Twelve Apostles
Julie B. Beck,1973,B.S,Fifteenth General Relief Society President
David A. Bednar,1976,M.O.B . ( Marriott ),Member of the Quorum of the Twelve Apostles
Ezra Taft Benson,1926,B.S,Thirteenth President of the Church
D. Todd Christofferson,1969,B.A,Member of the Quorum of the Twelve Apostles
Mary N. Cook,1973 1985,B.A . Ed.S,Member of the Young Women General Presidency
John B. Dickson,,B.S . ( Marriott ),Member of the Second Quorum of the Seventy
Gerrit W. Gong,,B.A,Member of the Quorum of the Twelve Apostles
Bruce C. Hafen,1964,B.A,Member of the First Quorum of the Seventy
Jeffrey R. Holland,1965 1966,B.A . M.A,Member of the Quorum of the Twelve Apostles
Jay E. Jensen,1967 1974 1988,B.A . M.A . Ed.D,Member of the Presidency of the Seventy
Ardeth G. Kapp,1964,M.Ed,Ninth Young Women General President
Thomas S. Monson,1974 1981,MBA ( Marriott ) Hon . D.L,Sixteenth President of the Church
Stephen D. Nadauld,1968,B.S,Former member of the Second Quorum of the Seventy
Dallin H. Oaks,1954,B.A,Member of the Quorum of the Twelve Apostles
Russell T. Osguthorpe,1971 1973 1975,B.A . M.A . Ph.D,Sunday School General President
Reed Smoot,1876,B.A,Former member of the Quorum of the Twelve Apostles
Belle Spafford,1920,B.A,Ninth General Relief Society President
Bradley R. Wilcox,1985,B.S . M.Ed,Religious speaker and author
