Church,Dates,Location,"City , State",Description
Sacred Heart Church,built 1922 1998 NRHP-listed,727 4th Street 37°28′11″N 105°52′4″W / 37.46972°N 105.86778°W / 37.46972 ; -105.86778,"Alamosa , Colorado",Mission/Spanish Revival
St. Mary 's Cathedral,built 1891 1982 NRHP-listed,"26 W. Kiowa Street 38°50′11″N 104°49′35″W / 38.83639°N 104.82639°W / 38.83639 ; -104.82639 ( St. Mary 's Cathedral ( Colorado Springs , Colorado ) )","Colorado Springs , Colorado",Gothic
Annunciation Church,built 1904 1990 NRHP-listed,"3601 Humboldt Street 39°46′2″N 104°58′11″W / 39.76722°N 104.96972°W / 39.76722 ; -104.96972 ( Annunciation Church ( Denver , Colorado ) )","Denver , Colorado",Gothic Revival/Romanesque
Cathedral Basilica of the Immaculate Conception,built 1911 1975 NRHP-listed,"1530 Logan Street 39°44′25″N 104°58′55″W / 39.74028°N 104.98194°W / 39.74028 ; -104.98194 ( Cathedral Basilica of the Immaculate Conception ( Denver , Colorado ) )","Denver , Colorado",Gothic Revival
St. Dominic 's Church,built 1926 1996 NRHP-listed,"3005 W. 29th Avenue 39°45′32″N 105°1′31″W / 39.75889°N 105.02528°W / 39.75889 ; -105.02528 ( St. Dominic 's Church ( Denver , Colorado ) )","Denver , Colorado",Late Gothic Revival
St. Elizabeth 's Church,built 1898 1969 NRHP-listed,"1062 11th Street 39°44′34″N 105°0′6″W / 39.74278°N 105.00167°W / 39.74278 ; -105.00167 ( St. Elizabeth 's Church ( Denver , Colorado ) )","Denver , Colorado",German Gothic
St. Ignatius Loyola Church,built 1924 1994 NRHP-listed,"Jct . of E. 23rd Ave. and York St. 39°45′5″N 104°57′35″W / 39.75139°N 104.95972°W / 39.75139 ; -104.95972 ( St. Ignatius Loyola Church ( Denver , Colorado ) )","Denver , Colorado",Late Gothic Revival
St. Joseph 's ( Polish ) Church,built 1902 1983 NRHP-listed,"517 E. 46th Avenue 39°46′49″N 104°58′54″W / 39.78028°N 104.98167°W / 39.78028 ; -104.98167 ( St. Joseph 's Polish Roman Catholic Church ( Denver , Colorado ) )","Denver , Colorado",Gothic
St. Joseph 's Church,built 1888 1982 NRHP-listed,600 Galapago 39°43′34″N 104°59′44″W / 39.72611°N 104.99556°W / 39.72611 ; -104.99556 ( St. Joseph 's Roman Catholic Church of Denver ),"Denver , Colorado",Gothic
St. Patrick Mission Church,built 1907 1979 NRHP-listed,"3325 Pecos Street 39°45′49″N 105°0′23″W / 39.76361°N 105.00639°W / 39.76361 ; -105.00639 ( St. Patrick Mission Church ( Denver , Colorado ) )","Denver , Colorado",Mission/Spanish Revival
Cathedral of the Sacred Heart,built 1913 1989 NRHP-listed,"414 W. 11th Street 38°16′37.2″N 104°36′43.92″W / 38.277000°N 104.6122000°W / 38.277000 ; -104.6122000 ( Cathedral of the Sacred Heart ( Pueblo , Colorado ) )","Pueblo , Colorado",Late Gothic Revival
St. Anthony 's Church,built 1911 1982 NRHP-listed,"329 S. 3rd Street 40°37′14″N 103°12′36″W / 40.62056°N 103.21000°W / 40.62056 ; -103.21000 ( St. Anthony 's Roman Catholic Church ( Sterling , Colorado ) )","Sterling , Colorado",Romanesque
