Name,Chartered,Institution,Location
Lambda Alpha,1974,University of Wisconsin-Whitewater,"Whitewater , Wisconsin"
Lambda Beta,1974,Clarion University of Pennsylvania,"Clarion , Pennsylvania"
Lambda Gamma,1974,Millersville University of Pennsylvania,"Millersville , Pennsylvania"
Lambda Delta,1974,Idaho State University,"Pocatello , Idaho"
Lambda Epsilon,1974,City-Wide,"Kansas City , Missouri"
Lambda Zeta,"March 23 , 1974",University of Alabama,"Tuscaloosa , Alabama"
Lambda Eta,"March 17 , 1974",Old Dominion University,"Norfolk , Virginia"
Lambda Theta,1974,University of Arkansas,"Fayetteville , Arkansas"
Lambda Iota,"March 30 , 1974",Brown University,"Providence , Rhode Island"
Lambda Kappa,1974,University of Maryland Baltimore County,"Baltimore , Maryland"
Lambda Lambda,1974,Ashland College,"Ashland , OH"
Lambda Mu,1974,Southern Arkansas University,"Magnolia , Arkansas"
Lambda Nu,1974,Paul Quinn College,"Dallas , Texas"
Lambda Xi,1974,"University of California , Davis","Davis , California"
Lambda Omicron,"May 25 , 1974",College of Charleston,"Charleston , South Carolina"
Lambda Pi,1974,Grand Valley State University,"Allendale , Michigan"
Lambda Rho,1974,University of Louisiana at Monroe,"Monroe , Louisiana"
Lambda Sigma,"November 14 , 1974",University of Mississippi,"Oxford , Mississippi"
Lambda Tau,1974,University of the Pacific,"Stockton , California"
Lambda Upsilon,"December 13 , 1974",University of Central Arkansas,"Conway , Arkansas"
