Congregation,Town,Minister
Assynt Free Church,Lochinver,Ian Allan ( caretaker )
Clyne Free Church,Brora,Roddy MacRae ( caretaker )
Dornoch Free Church,Dornoch,Duncan Macleod
Golspie Free Church,Golspie,Eric Paterson
Helmsdale and Kinbrace Free Church,Helmsdale,Roddy MacRae
Bonar Bridge and Lairg Free Church,"Lairg , Bonar Bridge , Migdale and Rosehall",John Forbes
"Lybster , Bruan , Latheron and Berriedale Free Church",Lybster,Jim Morrison
Castletown and Community Free Church,Castletown,Howard Stone
Rogart Free Church,Pittentrail,Ian Allan
Rosskeen Free Church,By Achnagarron,Calum MacMillan
Tain and Fearn Free Church,Tain,Alasdair MacAulay
Thurso and North Coast Free Church,Thurso,
Wick and Keiss Free Church,Wick,
