Country,Amateur Era,Open Era,All-time,First title,Last title
United States ( USA ),17,25,42,1926,2017
Australia ( AUS ),26,13,39,1935,2000
France ( FRA ),20,6,26,1925,2018
Sweden ( SWE ),1,6,7,1948,2006
Spain ( ESP ),1,5,6,1963,2016
Netherlands ( NED ),0,6,6,1973,2002
India ( IND ),0,5,5,1999,2009
South Africa ( RSA ),2,2,4,1947,1972
Belarus ( BLR ),0,4,4,2005,2012
Canada ( CAN ),0,4,4,2007,2012
Switzerland ( SUI ),0,3,3,1981,1992
Russia ( RUS ),0,3,3,1996,2002
Czech Republic ( CZE ),0,3,3,1996,2009
Great Britain ( GBR ),2,0,2,1933,1933
Germany ( GER ),2,0,2,1937,1937
Czechoslovakia ( TCH ),1,1,2,1948,1986
Italy ( ITA ),2,0,2,1959,1959
Romania ( ROU ),0,2,2,1970,1970
Mexico ( MEX ),0,2,2,1975,1977
Belgium ( BEL ),0,2,2,2004,2004
