Italian ( map form ),Standard Friulian,Other forms / Notes
Annone Veneto,Danòn,Local Venetian ( Liventino ) : Danón ; Venetian : Anon
Caorle,Cjàurlis,Alternative Friulian : Cjàorle ; Venetian : Càorle
Cinto Caomaggiore,Cint,Alternative Friulian : Cinto ; Venetian : Sinto Caomagior
Concordia Sagittaria,Cuncuàrdie,Alternative Friulian : Concuàrdie ; Venetian : Concordia
Fossalta di Portogruaro,Fossàlte,Venetian : Fosalta de Portogruaro
Gruaro,Gruâr,"Venetian : Gruèr , Gruàr"
Portogruaro,Puàrt di Gruâr,"Alternative Friulian : Puàrt , Puàrt Gruâr ; Local Venetian : Portogruèr ; Venetian : Pòrto ; German : Portogruar"
Pramaggiore,Pramaiôr,"Venetian : Pramagiòr , Pramajor"
San Michele al Tagliamento,San Michêl,Alternative Friulian : San Micjêl ; Venetian : San Michièl al Tajamento
San Stino di Livenza,San Stin,Italian until 2011 : Santo Stino di Livenza ; Venetian : San Stin dea Livensa
Teglio Veneto,Tei,Venetian : Tejo Vèneto
