Model designation,Build year,Total produced,AAR wheel arrangement,Prime mover,Power output
FP45,1967-1970,14,C-C,EMD 20-645E3,"3,600 hp ( 2.7 MW )"
F45,1968-1971,86,C-C,EMD 20-645E3,"3,600 hp ( 2.7 MW )"
SDP40F,1973-1974,150,C-C,EMD 16-645E3,"3,000 hp ( 2.2 MW )"
F40C,1974,15,C-C,EMD 16-645E3,"3,200 hp ( 2.3 MW )"
F40PH,1975-1988,196,B-B,EMD 16-645E3,"3,000-3,200 hp ( 2.2-2.4 MW )"
F40PHR,1977-1985,123,B-B,EMD 16-645E3,"3,000 hp ( 2.2 MW )"
F40PH-2M,1982-1985,4,B-B,EMD 16-645E3,"2,000 hp ( 1.5 MW )"
F40PH-2,1985-1989,31,B-B,EMD 16-645E3,"3,200 hp ( 2.4 MW )"
F40PH-2C,1987-1988,26,B-B,EMD 16-645E3,"3,200 hp ( 2.4 MW )"
F40PHM-2,1991-1992,30,B-B,EMD 16-645E3,"3,200 hp ( 2.4 MW )"
SD40-2F,1988,25,C-C,EMD 16-645E3,"3,000 hp ( 2.2 MW )"
SD50F,1985-1987,60,C-C,EMD 16-645F3B,"3,600 hp ( 2.6 MW )"
SD60F,1985-1989,64,C-C,EMD 16-710G3A,"3,800 hp ( 2.8 MW )"
F59PH,1988-1994,73,B-B,EMD 12-710G3,"3,000 hp ( 2.2 MW )"
F59PHI,1994-2001,83,B-B,EMD 12-710G3,"3,000 hp ( 2.2 MW )"
F69PHAC,1989,2,B-B,EMD 12-710G3,"3,000 hp ( 2.2 MW )"
"DE30AC , DM30AC",1997-1998,23 ( DE30AC ) 23 ( DM30AC ),B-B,EMD 16-710G3,"3,000 hp ( 2.2 MW )"
F125,2015-2017,20,B-B,Caterpillar C175-20,"4,700 hp ( 3.46 MW )"
