Title,Year,Publisher,Developer,Genre,Platform
Apocalypse,1983,Red Shift,Games Workshop,Wargame,ZX Spectrum
Battlecars,1984,Games Workshop,Games Workshop,Wargame,ZX Spectrum
D-Day,1984,Games Workshop,Games Workshop,Wargame,ZX Spectrum
Tower of Despair,1984,Games Workshop,Games Workshop,Text adventure,"ZX Spectrum , Commodore 64"
Chaos,1985,Games Workshop,Games Workshop,Turn-based tactics,ZX Spectrum
Journey 's End,1985,Games Workshop,Games Workshop,Role-playing,ZX Spectrum
Talisman,1985,Games Workshop,Games Workshop,Board game adaptation,ZX Spectrum
Chainsaw Warrior,2013,Auroch Digital,Auroch Digital,Board game adaptation,"Microsoft Windows , iOS , Android"
Talisman : Prologue,2013,Nomad Games,Nomad Games,Board game adaptation,"Microsoft Windows , iOS , Android"
Talisman : Digital Edition,2014,Asmodee Digital,Nomad Games,Board game adaptation,"Microsoft Windows , iOS , Android"
Dark Future : Blood Red States,2019,Auroch Digital,Auroch Digital,Tactical roguelike,Microsoft Windows
