Site,Municipality,Type,Ref
* Itsukushima 厳島 Itsukushima,Hatsukaichi,"2 , 3",[ 1 ]
* Renjuku and Kan Chazan Former Residence 廉塾 ならびに 菅茶山 旧宅 Renjuku narabani Kansazan kyū-taku,Fukuyama,"4 , 8",[ 2 ]
Aki Kokubunji Site 安芸国分寺 跡 Aki Kokubunji ato,Higashihiroshima,3,[ 3 ]
Ichinomiya 一宮 ( 桜山慈俊挙兵伝説地 ) Ichinomiya ( Sakurayama Koretoshi kyōhei den setsuchi ),Fukuyama,8,[ 4 ]
Yokomi Haiji Site 横見廃寺跡 Yokomi Haiji ato,Mihara,3,[ 5 ]
Hanazono Site 花園遺跡 Hanazono iseki,Miyoshi,1,[ 6 ]
Yosekuraiwakage Site 寄倉岩陰遺跡 Yosekuraiwakage iseki,Shōbara,1,[ 7 ]
Kikkawa Clan Fortified Residence Sites 吉川氏城館跡 Kikkawa-shi jōkan ato,Kitahiroshima,"2 , 3 , 7",[ 8 ]
Miyanomae Haiji Site 宮の前廃寺跡 Miyanomae Haiji ato,Fukuyama,3,[ 9 ]
Kagamiyama Castle Site 鏡山城 跡 Kagamiyama-jō ato,Higashihiroshima,2,[ 10 ]
Genbaku Dome 原爆ドーム ( 旧広島県産業奨励館 ) Genbaku dōmu,Hiroshima,2,[ 11 ]
Mitoshiro Kofun 御年代古墳 Mitoshiro kofun,Mihara,1,[ 12 ]
Hiroshima Castle Site 広島城跡 Hiroshima-jō ato,Hiroshima,2,[ 13 ]
Mitsujō Kofun 三ツ城古墳 Mitsujō kofun,Higashihiroshima,1,[ 14 ]
Teramachi Haiji Site 寺町廃寺跡 Teramachi Haiji ato,Miyoshi,3,[ 15 ]
Kobayakawa Clan Castle Sites 小早川氏城跡 Kobayakawa-shi shiro ato,Mihara,2,[ 16 ]
Jōrakuji-Nanatsuzuka Kofun Cluster 浄楽寺・七ツ塚古墳群 Jōrakuji-Nanatsuzuka kofun-gun,Miyoshi,1,[ 17 ]
Jinyama Tumulus Cluster 陣山 墳墓群 Jinyama funbo-gun,Miyoshi,1,[ 18 ]
Nakaoda Kofun Cluster 中小田古墳群 Nakaoda kofun-gun,Hiroshima,1,[ 19 ]
Futagozuka Kofun 二子塚古墳 Futagozuka kofun,Fukuyama,1,[ 20 ]
