Name,Party,Electoral district
Mark Holland,Liberal,Ajax - Pickering
Carol Hughes,NDP,Algoma - Manitoulin - Kapuskasing
David Sweet,Conservative,Ancaster - Dundas - Flamborough - Westdale
Patrick Brown,Conservative,Barrie
Maria Minna,Liberal,Beaches - East York
Gurbax Malhi,Liberal,Bramalea - Gore - Malton
Ruby Dhalla,Liberal,Brampton - Springdale
Andrew Kania,Liberal,Brampton West
Phil McColeman,Conservative,Brant
Larry Miller,Conservative,Bruce - Grey - Owen Sound
Mike Wallace,Conservative,Burlington
Gary Goodyear,Conservative,Cambridge
Gordon O'Connor,Conservative,Carleton - Mississippi Mills
Dave Van Kesteren,Conservative,Chatham-Kent - Essex
Mario Silva,Liberal,Davenport
Yasmin Ratansi,Liberal,Don Valley East
Rob Oliphant,Liberal,Don Valley West
David Tilson,Conservative,Dufferin - Caledon
Bev Oda,Conservative,Durham
Joe Volpe,Liberal,Eglinton - Lawrence
