Structure,Date,Municipality,Prefecture,Ref
Sekitō-ji Three-Storey Pagoda 石塔寺 三重塔 Sekitōji sanjūnotō,710-793,Higashiōmi,Shiga,[ 1 ]
* Kairyūō-ji Miniature Five-Storey Pagoda 海竜王寺 五重小塔 Kairyūōji gojūnoshōtō,729-749,Nara,Nara,[ 2 ]
Kairyūō-ji West Kondō 海竜王寺西金堂 Kairyūōji nishi kondō,710-793,Nara,Nara,[ 3 ]
* Gangō-ji Miniature Five-Storey Pagoda 元興寺極楽坊五重小塔 Gangōji Gokurakubō gojūnoshōtō,710-793,Nara,Nara,[ 4 ]
Tamukeyama Jinja Treasury 手向山神社 宝庫 Tamukeyama Jinja hōko,710-793,Nara,Nara,[ 5 ]
* Shinyakushi-ji Hondō 新薬師寺本堂 Shinyakushiji hondō,710-793,Nara,Nara,[ 6 ]
* Shōsōin 正倉院正倉 Shōsōin shōsō,756,Nara,Nara,[ 7 ]
* Tōshōdai-ji Kondō 唐招提寺金堂 Tōshōdaiji kondō,710-793,Nara,Nara,[ 8 ]
* Tōshōdai-ji Sutra Repository 唐招提寺経蔵 Tōshōdaiji kyōzō,710-793,Nara,Nara,[ 9 ]
* Tōshōdai-ji Lecture Hall 唐招提寺講堂 Tōshōdaiji kōdō,710-793,Nara,Nara,[ 10 ]
* Tōshōdai-ji Treasure House 唐招提寺宝蔵 Tōshōdaiji hōzō,710-793,Nara,Nara,[ 11 ]
* Tōdai-ji Tegaimon 東大寺転害門 Tōdaiji Tegaimon,c.757-765,Nara,Nara,[ 12 ]
* Tōdai-ji Hokkedō 東大寺法華堂 Tōdaiji Hokkedō,747,Nara,Nara,[ 13 ]
* Tōdai-ji Sutra Repository 東大寺本坊経庫 Tōdaiji Honbōkyōko,710-793,Nara,Nara,[ 14 ]
* Hōryū-ji Sutra Repository 法隆寺経蔵 Hōryūji kyōzo,710-793,Ikaruga,Nara,[ 15 ]
* Hōryū-ji Refectory 法隆寺食堂及び細殿 Hōryūji jikidō oyobi hosodono,710-793,Ikaruga,Nara,[ 16 ]
* Hōryū-ji East Precinct Denpōdō 法隆寺東院伝法堂 Hōryūji tōin denpōdō,710-793,Ikaruga,Nara,[ 17 ]
* Hōryū-ji East Precinct Yumedono 法隆寺東院夢殿 Hōryūji tōin yumedono,739,Ikaruga,Nara,[ 18 ]
* Hōryū-ji East Dormitory 法隆寺東室 Hōryūji higashi muro,710-793,Ikaruga,Nara,[ 19 ]
* Hōryū-ji Tōdaimon 法隆寺東大門 Hōryūji tōdaimon,710-793,Ikaruga,Nara,[ 20 ]
