Year,Player,Team ( s ),Runs
1901,Nap Lajoie,Philadelphia Athletics,145
1902,Dave Fultz Topsy Hartsel,Philadelphia Athletics,109
1903,Patsy Dougherty,Boston Americans,107
1904,Patsy Dougherty,Boston Americans New York Highlanders,113
1905,Harry Davis,Philadelphia Athletics,93
1906,Elmer Flick,Cleveland Naps,98
1907,Sam Crawford,Detroit Tigers,102
1908,Matty McIntyre,Detroit Tigers,105
1909,Ty Cobb,Detroit Tigers,116
1910,Ty Cobb,Detroit Tigers,116
1911,Ty Cobb,Detroit Tigers,147
1912,Eddie Collins,Philadelphia Athletics,137
1913,Eddie Collins,Philadelphia Athletics,125
1914,Eddie Collins,Philadelphia Athletics,122
1915,Ty Cobb,Detroit Tigers,144
1916,Ty Cobb,Detroit Tigers,113
1917,Donie Bush,Detroit Tigers,112
1918,Ray Chapman,Cleveland Indians,84
1919,Babe Ruth,Boston Red Sox,103
1920,Babe Ruth,New York Yankees,158
