Position,Player,From club,Fee
DC,Gábor Gyepes,Videoton FC,align=right| 0
DMC,Reeshafiq Alwi,PKNS F.C,align=right| 0
AMRC,Lot Abu Hassan,PKNS F.C,align=right| 0
GK,Mohd Fadzley Abdul Rahim,DRB-Hicom F.C,align=right| 0
AMRL,S. Chanturu,Perak FA,align=right| 0
AMRC,Mohd Rasyid Aya,JDT,align=right| 0
ST,Akmal Rizal,Kedah FA,align=right| 0
ST,Milorad Janjuš,SHB Đà Nẵng F.C,align=right| 0
ST,Alireza Abbasfard,Rah Ahan Sorinet FC,align=right| 0
ST,Zamri Morshidi,PKNS FC,align=right| 0
ST,Ryan Griffiths,Adelaide United,align=right| 0
ST,Hassan Mohamad,Al-Nejmeh SC,align=right| 0
