Institution,Location,Founded,Type,Nickname,Total AIAW DI titles
Arizona State University,Phoenix metropolitan area,1885,Public,Sun Devils,18
"University of California , Los Angeles","Los Angeles , California",1919,Public,Bruins,10
West Chester University of Pennsylvania *,"West Chester , Pennsylvania",1871,Public,Golden Rams,6
University of Miami,"Coral Gables , Florida",1925,Public,Hurricanes,6
University of Southern California,"Los Angeles , California",1880,Private,Trojans,6
Pennsylvania State University,"University Park , Pennsylvania",1855,Public,Nittany Lions,6
Iowa State University,"Ames , Iowa",1858,Public,Cyclones,5
Ohio State University,"Columbus , Ohio",1870,Public,Buckeyes,5
Long Beach State University,"Long Beach , California",1949,Public,49ers,5
Texas Woman 's University *,"Denton , Texas",1901,Public,Pioneers,4
University of Texas,"Austin , Texas",1883,Public,Longhorns,4
Delta State University *,"Cleveland , Mississippi",1924,Public,Lady Statesmen,3
Florida State University,"Tallahassee , Florida",1851,Public,Seminoles,3
Immaculata University,"Malvern , Pennsylvania",1920,Private,Mighty Macs,3
"California State University , Northridge","Northridge , Los Angeles , California",1958,Public,Matadors,3
Springfield College,"Springfield , Massachusetts",1885,Private,Pride,3
Southern Illinois University,"Carbondale , Illinois",1869,Public,Salukis,3
Utah State University,"Logan , Utah",1888,Public,Aggies,3
