Team,Stadium,Home games,Average attendance,Total attendance,Capacity percentage
Dallas Cowboys,AT & T Stadium,8,"91,620","732,958",114.5%
New York Jets,MetLife Stadium,8,"77,982","623,856",100.0%
Green Bay Packers,Lambeau Field,8,"77,835","622,677",95.6%
New York Giants,MetLife Stadium,8,"76,941","615,525",93.3%
Denver Broncos,Broncos Stadium at Mile High,8,"76,446","611,571",100.4%
Kansas City Chiefs,Arrowhead Stadium,8,"75,973","607,780",95.4%
Carolina Panthers,Bank of America Stadium,8,"73,773","590,182",97.7%
New Orleans Saints,Mercedes-Benz Superdome,8,"73,051","584,411",100.1%
Atlanta Falcons,Mercedes-Benz Stadium,8,"72,898","583,184",97.2%
Los Angeles Rams,Los Angeles Memorial Coliseum,8,"72,430","579,439",94.5%
Houston Texans,NRG Stadium,8,"71,805","574,439",99.7%
Baltimore Ravens,M & T Bank Stadium,8,"70,431","563,451",99.2%
Philadelphia Eagles,Lincoln Financial Field,8,"69,696","557,568",100.0%
San Francisco 49ers,Levi 's Stadium,8,"69,149","553,190",98.6%
Jacksonville Jaguars,TIAA Bank Field ( 7 games ) Wembley Stadium ( 1 game ),8,"69,074","552,589",98.6%
Seattle Seahawks,CenturyLink Field,8,"69,001","552,009",100.4%
Minnesota Vikings,U.S. Bank Stadium,8,"66,811","534,491",100.5%
New England Patriots,Gillette Stadium,8,"65,878","527,024",100%
Cleveland Browns,FirstEnergy Stadium,8,"65,765","526,122",97.5%
Miami Dolphins,Hard Rock Stadium,8,"65,560","524,480",101.2%
