Statistic,Player,Record,Yankees career
Wins,Whitey Ford,236,"1950 , 1953-1967"
Losses,Mel Stottlemyre,139,1964-1974
Win-loss percentage,Johnny Allen,.725,1932-1935
Earned run average,Rich Gossage,2.14,"1978-1983 , 1989"
Saves,Mariano Rivera,652,1995-2013
Strikeouts,Andy Pettitte,"2,020","1995-2003 , 2007-2010 , 2012-2013"
Shutouts,Whitey Ford,45,"1950 , 1953-1967"
Games,Mariano Rivera,"1,115",1995-2013
Innings pitched,Whitey Ford,"3,170⅓","1950 , 1953-1967"
Games started,Whitey Ford Andy Pettitte,438,"1950 , 1953-1967 1995-2003 , 2007-2010 , 2012-2013"
Games finished,Mariano Rivera,951,1995-2013
Complete games,Red Ruffing,261,1930-1942 1945-1946
Walks,Lefty Gomez,"1,090",1930-1942
Hits allowed,Red Ruffing,"2,995",1930-1942 1945-1946
Wild pitches,Whitey Ford,75,"1950 , 1953-1967"
Hit batsmen,Jack Warhop,114,1908-1915
