Place,Municipality,Type,Ref
* Shikina-en 識名園 Shikina-en,Naha,1,[ 1 ]
Ieudun Detached Residence Gardens 伊江御殿 別邸庭園 Ieudun bettei teien,Naha,1,[ 2 ]
Iedunchi Gardens 伊江殿内庭園 Iedunchi teien,Naha,1,[ 3 ]
Shimojishima Tōri-ike 下地島の 通り池 Shimojishima Tōri-ike,Miyakojima,"5 , 8",[ 4 ]
Kiyan Coast and Arasaki Coast 喜屋武海岸 及び 荒崎海岸 Kiyan kaigan oyobi Arasaki kaigan,Itoman,8,[ 5 ]
Miyaradunchi Gardens 宮良殿内庭園 Miyaradunchi teien,Ishigaki,1,[ 6 ]
Shuri Castle Shoin - Sasunoma Gardens 首里城書院・鎖之間庭園 Shuri-jō shoin・Sasunoma teien,Naha,1,[ 7 ]
Ishigaki Family Gardens 石垣氏庭園 Ishigaki-shi teien,Ishigaki,1,[ 8 ]
Kabira Bay - Mount Omoto 川平湾及び於茂登岳 Kabira-wan oyobi Omoto-dake,Ishigaki,"8 , 10 , 11",[ 9 ]
Cape Higashi-Henna 東平安名崎 Higashihenna-zaki,Miyakojima,8,[ 10 ]
Yabiji 八重干瀬 Yabiji,Miyakojima,8,[ 11 ]
Tindabana ティンダバナ Tindabana,Yonaguni,5,[ 12 ]
Kubura Bali - Kubira Furishi 久部良 バリ及び久部良フリシ Kubura Bali oyobi Kubira Furishi,Yonaguni,8,[ 13 ]
Amamiku-no-mori - Tenchiji-Amachiji - Kuba-no-utaki - Kudaka-no-Fubō-utaki アマミクヌムイ（アマミクの杜）今鬼神ノカナヒヤフ（テンチジアマチジ）及びこはおの御嶽（クバの御嶽） 久高コハウ森（久高のフボー御嶽） Amamiku-nu-mui ( Amamiku-no-mori ) Nakijin-no-kanahiyafu ( Tenchiji Amachiji ) oyobi Kohao-no-utaki ( Kuba no utaki ) Kudaka Kohau-mui ( Kudaka-no-Fubō utaki ),"Nakijin , Nanjō",8,[ 14 ]
