Name,Founder,Founded
The Seekers ( aka Brotherhood of the Seven Rays ),Charles Laughead ( aka Dr. Armstrong ) or Dorothy Martin ( aka Marian Keech ),1953
Aetherius Society,George King,1955
Freie Interessengemeinschaft für Grenz- und Geisteswissen-schaften und Ufologiestudien ( FIGU ),Billy Meier,1975
Ashtar Galactic Command,Thelma B. Terrill ( Tuella ),1977
Chen Tao,Hon-ming Chen,1995
Cosmic Circle of Fellowship,William A. Ferguson,1955
Fiat Lux,Uriella,1980
Ground Crew Project,,1980s
Heaven 's Gate,Marshall Applewhite and Bonnie Nettles,1970s
Industrial Church of the New World Comforter,Allen Michael,1973
Mark-Age,Charles Boyd Gentzel and Pauline Sharpe,1962
Nation of Islam,Wallace Fard Muhammad,1930
Nuwaubianism,Dwight York,1970s
Order of the Solar Temple,Joseph Di Mambro and Luc Jouret,1984
Raëlism,Claude Vorilhon,1974
Scientology,L. Ron Hubbard,1952
Unarius,Ernest Norman and Ruth Norman,1954
Universe People,Ivo A. Benda,1997
Urantia movement,Spiritual entities,1924 at the earliest and 1955 at the latest
Church of the SubGenius,Ivan Stang and Philo U. Drummond,1970 's
