Title,Publisher,Release Date,CERO
Dragon Crystal : Tsurani no Meikyū,Sega,"March 14 , 2012",A
Sonic & Tails 2,Sega,"March 14 , 2012",A
The G.G . Shinobi,Sega,"March 14 , 2012",B
G Sonic,Sega,"April 18 , 2012",A
Sonic Labyrinth,Sega,"May 16 , 2012",A
In the Wake of Vampire,SIMS,"June 27 , 2012",B
Shadam Crusader : Harukanaru Oukoku,Sega,"July 18 , 2012",A
Columns,Sega,"August 8 , 2012",A
G-LOC : Air Battle,Sega,"September 26 , 2012",A
Sonic the Hedgehog 2,Sega,"October 31 , 2012",A
Sonic Drift 2,Sega,"November 14 , 2012",A
Puyo Puyo,Sega,"January 30 , 2013",A
Ariel : Crystal Densetsu,Sega,"February 6 , 2013",A
Tails Adventure,Sega,"April 3 , 2013",A
Nazo Puyo,Sega,"September 25 , 2013",A
Shining Force Gaiden : Ensei - Jashin no Kuni he,Sega,"October 2 , 2013",A
Nazo Puyo 2,Sega,"October 23 , 2013",A
Shining Force Gaiden II : Jashin no Kakusei,Sega,"November 6 , 2013",A
Nazo Puyo : Aruru no Ruu,Sega,"November 20 , 2013",A
Sonic the Hedgehog,Sega,"December 4 , 2013",A
