Debut year,Player name,Position,Debut NFL/AFL team,Notes
1964,Dave Kopay,RB,San Francisco 49ers,-
1970,Jeff Jordan,RB,Los Angeles Rams,-
1974,Glen Bonner,RB,San Diego Chargers,-
1977,Mike Baldassin,LB,San Francisco 49ers,-
1981,Rich Camarillo,P,New England Patriots,-
1984,Vince Albritton,DB,Dallas Cowboys,-
1984,Warren Moon,QB,Houston Oilers,"Pro Bowl ( 1988 ) , ( 1989 ) , ( 1990 ) , ( 1991 ) , ( 1992 ) , ( 1993 ) , ( 1994 ) , ( 1995 ) , ( 1997 )"
1986,J. C. Pearson,DB,Kansas City Chiefs,-
1987,Garth Thomas,T,Seattle Seahawks,-
1992,Tyrone Rodgers,DT,Seattle Seahawks,-
1993,Darryl Hall,DB,Denver Broncos,-
1994,Beno Bryant,RB,Seattle Seahawks,-
1994,D'Marco Farr,DT,Los Angeles Rams,-
1994,Jamal Fountaine,DE,San Francisco 49ers,-
1996,Damon Huard,QB,Cincinnati Bengals,-
2000,Dane Looker,WR,St. Louis Rams,-
2003,Kevin Ware,TE,Washington Redskins,-
2007,C. J. Wallace,DB,Seattle Seahawks,-
2011,Victor Aiyewa,LB,Tampa Bay Buccaneers,-
2012,Jermaine Kearse,WR,Seattle Seahawks,-
