#,Name,Pos,College,GP,Seasons
50,Ravin Caldwell,LB,Arkansas,79,1987-92
86,Reche Caldwell,WR,Florida,8,2007
17,Jason Campbell,QB,Auburn,52,2005-09
37,Jesse Campbell,S,North Carolina State,19,1997-98
50,Khary Campbell,LB,Bowling Green,68,2004-08
66,Matt Campbell,OL,South Carolina,11,2001
-,Bob Campiglio,RB,West Liberty State,6,1933
43,Nick Campofreda,C / OT,McDaniel College,,1944
75,Don Campora,OT,Pacific,5,1953
30,Trung Canidate,RB,Arizona,11,2003
82/88,Joe Caravello,TE,Tulane,23,1987-88
79,Mark Carlson,OT,Southern Connecticut State,3,1987
41,Brian Carpenter,CB,Michigan,18,1983-84
89,Preston Carpenter,RB / TE,Arkansas,24,1964-66
21,Jimmy Carr,CB,Charleston,27,1964-65
89,Derek Carrier,TE,Beloit College,20,2015-16
27,Mark Carrier,DB,Southern California,15,2000
94,Adam Carriker,DE,Nebraska,34,2010-13
59/60,Jim Carroll,LB,Notre Dame,40,1966-68
81/89,Leo Carroll,DE,San Diego State,21,1969-70
