Airline,ICAO,IATA,Callsign,Hub Airport ( s )
Air Peace,APK,P4,PEACE BIRD,Nnamdi Azikiwe International Airport
Allied Air,AJK,,BAMBI,Murtala Muhammed International Airport
Arik Air,ARA,W3,ARIK AIR,"Murtala Muhammed International Airport , Nnamdi Azikiwe International Airport"
Aero Contractors,ACN,AJ,AERO Contractors,Murtala Muhammed International Airport
Associated Aviation,SCD,,ASSOCIATED,Murtala Muhammed International Airport
Azman Air,AZM,ZQ,AZMAN AIR,Mallam Aminu Kano International Airport
Dana Air,DAN,9J,DANACO,Murtala Muhammed International Airport
Dornier Aviation Nigeria,DAV,,DANA AIR,Kaduna Airport
First Nation Airways,FRN,,FIRSTNATION,Murtala Muhammed International Airport
Hak Air,HKL,,HAK AIRLINE,Murtala Muhammed International Airport
Kabo Air,QNK,N2,KABO,Mallam Aminu Kano International Airport
Max Air,NGL,VM,MAX AIR,Mallam Aminu Kano International Airport
Med-View Airline,MEV,VL,MED-VIEW,Murtala Muhammed International Airport
Overland Airways,OLA,OF,OVERLAND,Nnamdi Azikiwe International Airport
