Location served,Archipelago,ICAO,IATA,Airport name
"Ba , Viti Levu",Viti Levu Group,NFFA,,Ba Airport
"Bua , Vanua Levu",Vanua Levu Group,NFNU,BVF,Dama Airport
Castaway Island ( Qalito ),Mamanuca Group,NFCS,CST,Castaway Island Airport
Cicia,Lau Islands,NFCI,ICI,Cicia Airport
Gau,Lomaiviti Group,NFNG,NGI,Gau Airport
Koro,Lomaiviti Group,NFNO,KXF,Koro Airport
"Labasa , Vanua Levu",Vanua Levu Group,NFNL,LBS,Labasa Airport
Lakeba,Lau Islands,NFNK,LKB,Lakeba Airport
Laucala,Viti Levu Group,NFNH,LUC,Laucala Airport
"Levuka / Bureta , Ovalau",Lomaiviti Group,NFNB,LEV,Levuka Airfield
Malolo Lailai ( Malololailai ),Mamanuca Group,NFFO,PTF,Malolo Lailai Airport
Mana,Mamanuca Group,NFMA,MNF,Mana Island Airport
"Matei , Taveuni",Vanua Levu Group,NFNM,TVU,Matei Airport
Moala,Lau Islands,NFMO,MFJ,Moala Airport
Ono-i-Lau,Lau Islands,NFOL,ONU,Ono-i-Lau Airport
"Pacific Harbour / Deuba , Viti Levu",Viti Levu Group,NFND,PHR,Pacific Harbour/Deuba Seaplane Base
Rabi,Vanua Levu Group,NFFR,RBI,Rabi Airport
Rotuma,Rotuma,NFNR,RTA,Rotuma Airport
"Savusavu , Vanua Levu",Vanua Levu Group,NFNS,SVU,Savusavu Airport
Vanua Balavu ( Vanuabalavu ),Lau Islands,NFVB,VBV,Vanuabalavu Airport
