Location,ICAO,Airport name,Usage
Bălți,LUBL,Bălți International Airport,"Certified , occasional flights"
Bălți,,Bălți City Airport,Unclear
Cahul,LUCH,Cahul International Airport,Not certified
Camenca,LUCM,Camenca Airport,Not operational
Ceadîr-Lunga,LUCL,Chadyr Lunga Airport,Unclear
Chișinău,LUKK,Chișinău International Airport,Moldova 's sole international gateway
Mărculeşti,LUBM,Mărculeşti International Airport,Certified for daylight flights only
Soroca,LUSR,Soroca Airport,Not operational
Tighina ( Bender ),LUTG,Tighina Airport,Not operational
Tiraspol,LUTR,Tiraspol Airport,Not operational
Vadul lui Vodă / Durleşti,,Vadul lui Vodă Airfield,Unclear
