Name,Association with RMIT,Notability
"Ron Barassi , AM",attended,former player with Melbourne Demons and Carlton Blues and legendary coach
Darcy Daniher,current student,current player with Essendon Bombers
Roger Dean,attended,former player and Captain of Richmond Tigers
John Dugdale,attended,former player with North Melbourne Kangaroos ; sports commentator
Jack Edwards,attended,former player with North Melbourne Kangaroos ; sports commentator
Keith Greig,attended,"former player with North Melbourne Kangaroos and two-time Brownlow Medalist ( 1973 , 1974 )"
David Hille,B Bus,current player with Essendon Bombers
James Hird,B Eng ( Hon ),"former player , Captain and coach of Essendon Bombers , Browlow Medallist ( 1996 ) and civil engineer"
Tony Jewell,attended,former player with Richmond Tigers and coach of St Kilda Saints
Bob Skilton,attended,"former player with South Melbourne Swans and three-time Brownlow Medallist ( 1959 , 1963 , 1968 )"
"Jim Stynes , OAM","B Soc Sc , Dip Youth Work","former player and Chairman of Melbourne Demons ; Brownlow Medallist ( 1991 ) , businessman and youth worker"
Brian Taylor,attended,former player with Richmond Tigers and Collingwood Magpies ; sports commentator
