#,Artist,Artist 's nationality,Title
1,Schnappi,Germany,"Schnappi , das kleine Krokodil"
2,Tokio Hotel,Germany,Durch den Monsun
3,Akon,United States,Lonely
4,K.Maro,Lebanon / Canada,Femme Like U
5,Söhne Mannheims,Germany,Und wenn ein Lied
6,Juanes,Colombia,La Camisa Negra
7,50 Cent featuring Olivia,United States,Candy Shop
8,Pussycat Dolls featuring Busta Rhymes,United States,Do n't Cha
9,Die Firma,Germany,Die Eine 2005
10,Ch ! pz,Netherlands,Ch ! pz in Black
11,Fettes Brot,Germany,Emanuela
12,Melanie C,United Kingdom,First Day of My Life
13,Linkin Park featuring Jay-Z,United States,Numb/Encore
14,Nena,Germany,Liebe ist
15,Sarah Connor,Germany,From Zero to Hero
16,James Blunt,United Kingdom,You 're Beautiful
17,Robbie Williams,United Kingdom,Tripping
18,Madonna,United States,Hung Up
19,Sugababes,United Kingdom,Push The Button
20,Joana Zimmer,Germany,I Believe ( Give a Little Bit ... )
