Name,Industry,Sector,Headquarters,Founded,Notes
Aero Vodochody,Industrials,Aerospace,Odolena Voda,1919,"Aircraft , part of Penta Investments ( Slovakia )"
Ahold Czech Republic,Consumer services,Food retailers & wholesalers,Prague,1991,Supermarkets
ASIX s.r.o,Industrials,Electronic equipment,Prague,1991,"Circuits , electronics"
Avast,Technology,Software,Prague,1988,Security software
Barrandov Studios,Consumer services,Broadcasting & entertainment,Prague,1921,Film studios
Budweiser Bier Bürgerbräu,Consumer goods,Brewers,České Budějovice,1795,Brewery
Budweiser Budvar Brewery,Consumer goods,Brewers,České Budějovice,1785,Brewery
Česká pošta,Industrials,Delivery services,Prague,1918,Postal services
Česká spořitelna,Financials,Banks,Prague,1825,"Bank , part of Erste Group ( Austria )"
Česká zbrojovka firearms,Industrials,Defense,Uherský Brod,1936,Weapons
České dráhy,Industrials,Railroads,Prague,2003,Railways
České Radiokomunikace,Telecommunications,Fixed line telecommunications,Prague,1963,Telecom
Československá obchodní banka,Financials,Banks,Prague,1964,Bank
CETIN,Telecommunications,Fixed line telecommunications,Prague,2015,Telecommunication infrastructure
Cinema City Czech Republic,Consumer services,Recreational services,Prague,1999,Theatres
ČKD,Industrials,Commercial vehicles & trucks,Prague,1927,"Trams , vehicles"
CS Link,Telecommunications,Mobile telecommunications,Prague,2006,Satellite service
Czech Airlines,Consumer services,Airlines,Prague,1923,Airline
Czech National Bank,Financials,Banks,Prague,1919,Central bank
Dominant CZ,Consumer goods,Farming & fishing,Studenec,1989,Hatcheries for hens and chickens
