Crater,Diameter ( km ),Approval Year,Eponym,Ref
Nabokov,166,2012,"Vladimir Nabokov , Russian and American writer",WGPSN
Namatjira,34,2015,"Albert Namatjira , Australian Aboriginal artist",WGPSN
Nampeyo,49,1976,"Nampeyo , Hopi potter",WGPSN
Navoi,69,2008,"Ali-Shir Nava ' i , Uzbek poet",WGPSN
Nāwahī,38,2008,"Joseph Nāwahī , Hawaiian painter",WGPSN
Neruda,112,2008,"Pablo Neruda , Chilean poet",WGPSN
Nervo,66,1979,"Amado Nervo , Mexican poet",WGPSN
Neumann,122,1976,"Johann Balthasar Neumann , German architect",WGPSN
Nizāmī,77,1979,"Nizami , Persian poet",WGPSN
Nureyev,16,2012,"Rudolf Nureyev , Soviet and British ballet dancer",WGPSN
