Name,Country,Event,Date of violation,Banned substance ( s ) / Anti-doping rule violation,Sanction
Chryste Gaines,United States,Sprinting,2003 2005,Modafinil ( positive test ) THG ( investigation : BALCO ),Public warning 2 years
Anton Galkin,Russia,Sprinting,2004,Stanozolol,2 years
Miguel Ángel Gamonal,Spain,Half marathon,2013 2015,Clenbuterol Biological passport,2 years 3 years
Alberto García,Spain,"Long distance , cross country",2003,EPO,2 years
Sandra Gasser,Switzerland,Middle distance,1987,Steroids,2 years
Justin Gatlin,United States,Sprinting,2001 2006,Amphetamine Testosterone,1 year ( Reduced from 2 years ) 4 years
Tyson Gay,United States,Sprinting,2013 2012-2013,Positive test : Exogenous anabolic-androgenic steroid Investigation/Admittance,1 year
Tibor Gécsek,Hungary,Hammer throw,1995,Anabolic steroids,2 years ( Reduced from 4 years )
Ines Geipel,East Germany,Sprinting,1980 's,Turinabol ( self-admitted ),-
Shitaye Gemechu,Ethiopia,Long distance,2009,EPO,2 years
Ivan Gertlein,Russia,Pole vault,2012,Testosterone,2 years
Nordine Gezzar,France,Middle/Long distance,2006 2012,"Finasteride , nandrolone EPO",2 years 10 years
Rachid Ghanmouni,Morocco,Long distance,2006,Evading doping control,2 years
Ruqaya Al-Ghasra,Bahrain,Sprinting,2009,Epitestosterone,2 years
Alina Gherasim ( Alina Tecuţa ),Romania,Long distance,2002,Anabolic steroids,2 years
Bouchra Ghezielle,France,Middle distance,2008,EPO,4 years
Patricia Girard,France,Sprinting,1990,Primobolan ( anabolic steroid ),2 years
Sandra Glover,United States,Sprinting,2003,Modafinil,Disqualification and public warning
Geronimo Goeloe,Netherlands Antilles,Sprinting,2008,Stanozolol,2 years
Thomas Goller,Germany,Hurdling,2010,"Boldenone , SARMs",2 years
