Name,Date,Capacity ( MW ),Location,Owner,River
Beechwood Generating Station,1962,112,46°32′32″N 67°40′09″W / 46.542253°N 67.669276°W / 46.542253 ; -67.669276 ( Beechwood Generating Station ),NB Power,Saint John River
Grand Falls Generating Station,1931,66,47°03′00″N 67°44′33″W / 47.0500811°N 67.7425575°W / 47.0500811 ; -67.7425575 ( Grand Falls Generating Station ),NB Power,Saint John River
Hargrove Dam,1962,3,46°31′02″N 67°35′45″W / 46.517212°N 67.595713°W / 46.517212 ; -67.595713 ( Hargrove Dam ),Hargrove Hydro,Monquart River
Mactaquac Generating Station,1965-1968,668,45°57′18″N 66°52′03″W / 45.954969°N 66.867514°W / 45.954969 ; -66.867514 ( Mactaquac Generating Station ),NB Power,Saint John River
Madawaska Hydro-Dam Fraser Plant,1917,5.3,Edmundston,Edmundston Energy,Madawaska River
Milltown Generating Station,1900 's,3,45°10′32″N 67°17′34″W / 45.175426°N 67.292895°W / 45.175426 ; -67.292895 ( Milltown Generating Station ),NB Power,St. Croix River
Nepisiguit Falls Generating Station,1921-1929,11,47°24′17″N 65°47′36″W / 47.4047977°N 65.7932138°W / 47.4047977 ; -65.7932138 ( Nepisiguit Falls Generating Station ),NB Power,Nepisiguit River
Second Falls Dam,1911,3.2,Edmundston,Edmundston Energy,Green River
Sisson Generating Station,1928-1969,9,47°16′03″N 67°14′49″W / 47.267621°N 67.246891°W / 47.267621 ; -67.246891 ( Sisson Generating Station ),NB Power,Tobique River
St. George Dam,1900s,15,45°07′41″N 66°49′44″W / 45.128158°N 66.828844°W / 45.128158 ; -66.828844 ( St. George Dam ),St. George Power,Magaguadavic River
Tinker Dam,1923,34.5,46°48′35″N 67°46′00″W / 46.8098266°N 67.7665365°W / 46.8098266 ; -67.7665365 ( Tinker Dam ),Algonquin Power,Aroostook River
Tobique Narrows Generating Station,1951-1953,20,46°46′49″N 67°41′42″W / 46.780339°N 67.695089°W / 46.780339 ; -67.695089 ( Tobique Narrows Generating Station ),NB Power,Tobique River
