Grandparent,Grandchild ( ren ),Country
Al Amezcua,Apolo Dantés Cesar Dantés Septiembre Negro Jr,Mexico
Ángel Blanco,Horus,Mexico
Bull Curry,Fred Curry Jr,United States
Hurricane Castillo Sr,AJ Castillo,Cuba Puerto Rico
Helen Hild,Mike DiBiase Ted DiBiase Jr. Brett DiBiase,United States
Humberto Garza,Angel Garza Humberto Carrillo,Mexico
Gory Guerrero,Chavo Guerrero Jr. Shaul Guerrero,Mexico
Santo,Axel Santo Jr,Mexico
Stu Hart,David Hart Smith Teddy Hart Matthew Annis Nattie Neidhart Matt Hart Bruce Hart Jr. Torrin Hart Lindsay Hart,Canada United States
Helen Hart,David Hart Smith Teddy Hart Matthew Annis Nattie Neidhart Matt Hart Bruce Hart Jr. Torrin Hart Lindsay Hart,United States Canada
Lia Maivia,Dwayne Johnson,Canada United States
Larry Hennig,Joe Hennig Amy Hennig,United States
Eddie Marlin,Jeff Jarrett,United States
Leroy McGuirk,Max McGuirk,United States
Jess McMahon,Vince McMahon Jr,United States
"Vince McMahon , Sr",Shane McMahon Stephanie McMahon,United States
Blackjack Mulligan,Windham Rotunda Taylor Rotunda,United States
Frankie Hill Murdoch,Ricky Murdoch,United States
Bob Orton Sr,Randy Orton,United States
Salvador Pérez Sr,Mike Mendoza,El Salvador Puerto Rico
