Uncle,Nephew,Country
George Armstrong,Dale McCourt,Canada
Scott Arniel,Jamie Arniel,Canada
Todd Bertuzzi,Tyler Bertuzzi *,Canada
Scott Bjugstad,Nick Bjugstad *,United States
Toe Blake,Mike Blake,Canada
Johnny Boychuk *,John Quenneville *,Canada
Andy Brickley,Daniel Brickley *,United States
"Neal , Aaron , Paul Broten",Shane Gersich *,United States
Johnny Bucyk,Randy Bucyk,Canada
Billy Carroll,Boone Jenner *,Canada
Guy Chouinard,Marc Chouinard,Canada
Dave Christian,Brock Nelson *,United States
"Lionel , Charlie , & Roy Conacher",Murray Henderson,Canada
Marty Dallman,Kevin Dallman,Canada
Billy Dea,James Wisniewski *,"Canada , United States"
Barry Dean,Zack Smith *,Canada
Dave Dunn,Brett Clark,Canada
Roy Edwards,Don Edwards,Canada
Randy Exelby,Kyle Capobianco *,Canada
Denis Gauthier,Julien Gauthier *,Canada
