Name,Nationality,Division,Style
Giselle Salandy,Trinidad,,Boxing
Martha Salazar,USA,Heavyweight,Boxing
Irma Sanchez,Mexico,Light Flyweight,Boxing
Åsa Sandell,Sweden,Super Middleweight,Boxing
Mary Jo Sanders,USA,Middleweight,Boxing
Amanda Serrano,Puerto Rico,Featherweight,Boxing
Laura Serrano,Mexico,Featherweight,Boxing
Parvati Shallow,USA,,Boxing
Maureen Shea,USA,Featherweight,Boxing
Becky Smith,CAN,,Boxing
Daniella Smith,New Zealand,,Boxing
Cristiana Stancu,Romania,,Boxing
Mia St. John,USA,,Boxing
Michelle Sutcliffe,GBR,,Boxing
Klara Svensson,Sweden,Lightweight,Boxing
Daniela Somers,Belgium,,Boxing
