Princess,Film,Notes
Princess Jasmine,Aladdin,"Based on Princess Badroulbadour from the tale of The Story of Aladdin ; or , the Wonderful Lamp from The Book of One Thousand and One Nights ( Arabian Nights ) . She 's voiced by Linda Larkin in the movies , television , and video games"
Princess Kidagakash Kida Nedakh,Atlantis : The Lost Empire Atlantis : Milo 's Return,"The former princess , and now queen , of Atlantis ; the daughter of the late King Kashekim Nedakh . Voiced by Cree Summer"
Belle,Beauty and the Beast,Marries Beast . Voiced by Paige O'Hara
Princess Eilonwy,The Black Cauldron,Based on the character from Lloyd Alexander 's The Chronicles of Prydain . Voiced by Susan Sheridan
Merida,Brave,"Daughter of King Fergus and Queen Elinor of Dunbroch . Voiced by Peigi Barker as a child , and by Kelly Macdonald as a young woman . Mérida joined the official Disney Princess Lineup in July 2013"
Nita,Brother Bear 2,Daughter of Chief Chilkoot . Voiced by Mandy Moore
Princess Atta,A Bug 's Life,"In the film , Atta is voiced by Julia Louis-Dreyfus . She is also voiced by Jodi Benson in the PlayStation video game"
Princess Dot,A Bug 's Life,Voiced by Hayden Panettiere
Cinderella,Cinderella,Marries Prince Charming . Originally voiced by Ilene Woods
Anna,Frozen Frozen II,"Princess Anna of Arendelle , one of the main protagonists of Disney 's Frozen . Anna is inspired by the character of Gerda from The Snow Queen , a fairy tale by Hans Christian Andersen . She later becomes the new Queen of Arendelle as her elder sister Elsa becomes the kingdom 's own protector . Anna and Elsa both joined the official Disney Princess Lineup in November 2013 . Voiced by Kristen Bell"
Queen Elsa of Arendelle,Frozen Frozen II,"Formerly Princess Elsa of Arendelle . She possesses an ancient power over ice and snow , and is the elder sister of the film 's main protagonist , Anna . The character of Elsa is inspired by the title character from Hans Christian Andersen 's The Snow Queen . Elsa and Anna are both scheduled to join the official Disney Princess Lineup later in 2014 . Voiced by Idina Menzel"
Nala,The Lion King The Lion King II : Simba 's Pride,The love interest of Simba and later marries him to become Queen of the Pride Lands . Voiced by Moira Kelly as an adult and Niketa Calame as a cub . Sally Dworsky provides Adult Nala 's singing voice
Kiara,The Lion King II : Simba 's Pride,"The feisty daughter of Simba and Nala . Voiced by Neve Campbell as an adult and Michelle Horn as a cub . Liz Callaway provides Adult Kiara 's singing voice , while Young Kiara 's singing voice is provided by Charity Sanoy"
Ariel,The Little Mermaid The Little Mermaid II : Return to the Sea The Little Mermaid : Ariel 's Beginning,"Ariel has a very distinctive appearance , with her long , flowing red hair , blue eyes , green tail and a lavender seashell bikini top . In the films and television series , she is the youngest daughter of King Triton and Queen Athena . Ariel has six older sisters : Attina Alana Adella Aquata Arista Andrina Ariel is often rebellious , and in the first film longs to be a part of the human world . She marries Prince Eric , whom she rescued from a shipwreck , and together they have a daughter , Melody . Ariel is voiced by Jodi Benson"
Melody,The Little Mermaid II : Return to the Sea,"The protagonist of Disney 's The Little Mermaid II : Return to the Sea , the sequel to The Little Mermaid . Melody is voiced by Tara Strong ( credited as Tara Charendoff )"
Princess Minnie,"Mickey , Donald , Goofy : The Three Musketeers","The mouse princess of the kingdom of France portrayed by Minnie Mouse ( voiced by Russi Taylor ) , though she is not technically a princess throughout the various animated films , short films and TV shows . Minnie also portrays the princess in two of the Mickey Mouse short films : Ye Olden Days Brave Little Tailor"
Moana,Moana,"Moana is the only daughter of a chief in a long line of navigators , who sets sail to an island with a demi-god to help her family . She is voiced by Auliʻi Cravalho"
Fa Mulan,Mulan Mulan II,"While in actuality she is neither a princess by birth nor by marriage , Mulan holds an honorary Disney Princess status . She is a member of the official Disney Princess lineup , the only one who is not actually a princess . Speaking voice by Ming-Na , singing voice by Lea Salonga"
Emperor 's daughters,Mulan II,"Princess Mei , voiced by Lucy Liu . Princess Su , voiced by Lauren Tom . Princess Ting-Ting , voiced by Sandra Oh ( speaking ) and Judy Kuhn ( singing )"
Tiger Lily,Peter Pan,"Based on the 1904 play , Peter Pan ; or , the Boy Who Would n't Grow Up , and the 1911 novel , Peter and Wendy , both by J. M. Barrie . Tiger Lily 's only line is delivered by Canadian actress Corinne Orr ( uncredited )"
