Club,City,Stadium,Capacity,2015-16 season
Aversa Normanna,Aversa,Augusto Bisceglia,"2,555",6th in Serie D Girone I
Castrovillari,Castrovillari,Mimmo Rende,"4,000",2nd in Eccellenza Calabria
Cavese,Cava de ' Tirreni,Simonetta Lamberti,"5,200",3rd in Serie D Girone I
Due Torri,Piraino,Enzo Vasi,"3,800",7th in Serie D Girone I
Frattese,Frattamaggiore,Pasquale Ianniello,"5,000",2nd in Serie D Girone I
Gela,Gela,Vincenzo Presti,"4,200",1st in Eccellenza Sicily Girone A
Gladiator,Santa Maria Capua Vetere,Mario Piccirillo,"2,000",12th in Eccellenza Campania Girone A
Gragnano,Gragnano,San Michele,"2,000",10th in Serie D Girone I
Igea Virtus,Barcellona Pozzo di Gotto,Carlo Stagno d'Alcontres,"7,000",1st in Eccellenza Sicily Girone B
Palmese,Palmi,Giuseppe Lopresti,"2,500",16th in Serie D Girone I
Pomigliano,Pomigliano d'Arco,Ugo Gobbato,"1,600",7th in Serie D Girone H
Rende,Rende,Marco Lorenzon,"5,000",11th in Serie D Girone I
Roccella,Roccella Ionica,Ninetto Muscolo,"2,000",8th in Serie D Girone I
Sancataldese,San Cataldo,Valentino Mazzola,,2nd in Eccellenza Sicily Girone A
Sarnese,Sarno,Felice Squitieri,"3,246",9th in Serie D Girone I
Sersale,Sersale,Ferrarizzi,,1st in Eccellenza Calabria
Sicula Leonzio,Lentini,Angelino Nobile,"2,500",3rd in Eccellenza Sicily Girone B
Turris,Torre del Greco,Amerigo Liguori,"5,300",13th in Serie D Girone H
