Club,City,Stadium,Capacity
Albissola,Albissola Marina Albisola Superiore,Comunale ( Chiavari ),"5,535"
Alessandria,Alessandria,Giuseppe Moccagatta,"5,827"
Arezzo,Arezzo,Città di Arezzo,"13,128"
Arzachena,Arzachena,Biagio Pirina,"3,100"
Carrarese,Carrara,Dei Marmi,"9,500"
Cuneo,Cuneo,Fratelli Paschiero,"4,000"
Gozzano,Gozzano,Alfredo d'Albertas / Silvio Piola ( Vercelli ),"400 / 5,500"
Juventus U23,Torino,Giuseppe Moccagatta ( Alessandria ),"5,827"
Lucchese,Lucca,Porta Elisa,"7,386"
Novara,Novara,Silvio Piola ( Novara ),"17,875"
Olbia,Olbia,Bruno Nespoli,"3,200"
Piacenza,Piacenza,Leonardo Garilli,"21,668"
Pisa,Pisa,Arena Garibaldi - Romeo Anconetani,"25,000"
Pistoiese,Pistoia,Marcello Melani,"13,195"
Pontedera,Pontedera,Ettore Mannucci,"5,000"
Pro Patria,Busto Arsizio,Carlo Speroni,"4,627"
Pro Piacenza,Piacenza,Leonardo Garilli,"21,668"
Pro Vercelli,Vercelli,Silvio Piola ( Vercelli ),"5,500"
Siena,Siena,Montepaschi Arena,"15,373"
Virtus Entella,Chiavari,Comunale,"5,535"
