Club,Home city,Stadium,Finishing position last season,First season in division,First season of current spell in division
Andorra,Encamp,Prada de Molès,Divisiones Regionales,1980-81,2019-20
Atlético Levante,Valencia,Buñol,11th,2004-05,2018-19
Badalona,Badalona,Municipal de Badalona,7th,2004-05,2004-05
Barcelona B,Barcelona,Johan Cruyff,8th,1977-78,2018-19
Castellón,Castellón de la Plana,Nou Castàlia,15th,1994-95,2018-19
Cornellà,Cornellà de Llobregat,Nou Camp,4th,2014-15,2014-15
Ebro,Zaragoza,La Almozara,9th,2014-15,2014-15
Ejea,Ejea de los Caballeros,Municipal de Ejea,14th,2018-19,2018-19
Espanyol B,Cornellà de Llobregat,Dani Jarque,5th,1995-96,2018-19
Gimnàstic,Tarragona,Nou Estadi,20th in Segunda División,1978-79,2019-20
Hércules,Alicante,José Rico Pérez,2nd,1988-89,2014-15
La Nucía,La Nucía,Camilo Cano,2nd in Tercera División group 6,2019-20,2019-20
Llagostera,Llagostera,Municipal de Llagostera,1st in Tercera División group 5,2011-12,2019-20
Lleida Esportiu,Lleida,Camp d'Esports,6th,2011-12,2011-12
Olot,Olot,Municipal d'Olot,10th,2013-14,2017-18
Orihuela,Orihuela,Los Arcos,1st in Tercera División group 6,2002-03,2019-20
Prat,El Prat de Llobregat,Sagnier,4th in Tercera División group 5,2012-13,2019-20
Sabadell,Sabadell,Nova Creu Alta,12th,1983-84,2015-16
Valencia Mestalla,Valencia,Antonio Puchades,13th,1987-88,2011-12
Villarreal B,Villarreal,Mini Estadi,3rd,2007-08,2012-13
