Name,Origin,Description
50/50 burger,"California , United States","Half ground bacon , half ground beef burger patty developed by Scott Slater for Slater 's 50/50 restaurant . Another variety is half kangaroo meat and half bacon"
Angus burger,"Angus cattle were developed from cattle native to the counties of Aberdeenshire and Angus in Scotland , and are known as Aberdeen Angus in most parts of the world","A hamburger made using beef from Angus cattle . The name Angus burger is used by several fast-food hamburger chains for one or more premium burgers ; however , it does not belong to any single company . Pre-made frozen Angus burgers are increasingly available from retailers"
Aussie Burger / Kiwiburger,Australasia,"Popular regional hamburger ingredients in Australia and New Zealand include canned beetroot , pineapple and a fried egg . Pictured is a burger with slices of canned beetroot within it"
Bacon cheeseburger,"An A & W Restaurants store in Lansing , Michigan in 1963","Hamburger with bacon and cheese is a bacon cheeseburger , which became an official menu item at an A & W Restaurant owned by Dale Mulder in Lansing , Michigan in 1963 . Hamburgers with bacon but no cheese may be referred to as bacon burgers"
Barbecue burger,,"Prepared with ground beef , mixed with onions and barbecue sauce , and then grilled . Once the meat has been turned once , barbecue sauce is spread on top and grilled until the sauce caramelizes . The bread bun is buttered and also spread with a light layer of barbecue sauce , then toasted on the grill"
Bøfsandwich,Denmark,"Classic Danish take on a hamburger . It contains the hamburger elements of a cooked ground beef patty placed inside a sliced bread roll . Bøfsandwiches are typically sold from hotdog stands , traditional fastfood establishments , and in later years some traditional Danish restaurants have also started serving gourmet versions"
Butter burger,Most likely first served in 1936 at Solly 's Grille in Milwaukee,"In the Upper Midwest , particularly Wisconsin , burgers are often made with a buttered bun , butter as one of the ingredients of the patty or with a pat of butter on top of the burger patty"
Buffalo burger,,"Prepared with meat from the American Bison , buffalo burgers have less cholesterol , less fat , and fewer calories than beef hamburgers and chicken hamburgers . The American Heart Association recommended buffalo burgers in 1997 as more heart-healthy than chicken or beef"
California burger,,"In portions of the Midwest and East coast , a hamburger served with lettuce , tomato , and onion is referred to as a California burger . However , in the Western U.S. , a California burger most often consists of a normal cheeseburger , with the addition of guacamole or avocado and bacon"
Carolina burger,"North Carolina , United States","In portions of the Carolinas , a Carolina-style hamburger with everything may be served with cheese , chili , onions , mustard , and cole slaw . Common in local restaurants in the Carolinas , it is also periodically offered at Wendy 's restaurants as the Carolina Classic"
Cheeseburger,,"Hamburger accompanied with melted cheese . The term itself is a portmanteau of the words cheese and hamburger . The cheese is usually sliced , then added a short time before the hamburger finishes cooking to allow it to melt . In fast food restaurants , the cheese that is added to a cheeseburger is typically American cheese , but there are many other variations . Mozzarella , blue cheese , Swiss cheese , pepper jack , and especially cheddar are popular choices"
Chili burger,Thomas M. Ptomaine Tommy DeForest appears to have developed the chili burger in the 1920s,"Consists of a hamburger , with the patty topped with chili con carne"
Curry burger,,"Variant of the American hamburger that is seasoned with curry . Made with ground beef , chicken , or lamb , it is typically seasoned with curry powder , as well as yogurt , onions , green peppers , and other spices , and then served on a traditional hamburger bun"
Green chile burger,"Owl Bar and Grill in San Antonio , New Mexico , circa 1945",Burger topped with Roasted New Mexico chiles . Many places around New Mexico serve variations of this burger
Hamdog,Invented in 2004 by Australian Mark Murray and patented in 2009 . The Hamdog received global media recognition in late 2016 as the worlds only patented and trademarked burger,Australian invention that consists of a special combination hamburger and hotdog bun . A meat patty is split in half and has a sausage run through the middle . It is then topped just as a conventional burger
Hawaii burger,,Topped with pineapple and often teriyaki sauce ( from the Japanese-American culture )
Jucy Lucy,Two bars on the same street in South Minneapolis both claim to have invented the sandwich : Matt 's Bar and the 5-8 Club,"A cheeseburger that has the cheese inside the meat patty rather than on top . A piece of cheese is surrounded by raw meat and cooked until it melts , resulting in a molten core of cheese within the patty"
Kimchi burger,"It has been stated that Uncle Joe 's Hamburger of Seoul , South Korea was the inventor of the kimchi burger",A hamburger that includes kimchi in its preparation
Luther Burger,"The origin is disputed . According to legend , the burger was named for and was a favorite ( and possible invention ) of singer , songwriter and record producer Luther Vandross . The Daily Telegraph reported that Mulligan 's , a suburban bar in Decatur , Georgia , may be progenitor of the burger when the owner substituted the doughnuts when running out of buns",Hamburger or cheeseburger prepared with one or more glazed doughnuts in place of the bun
Pastrami burger,Trend started at Crown Burgers of Utah in 1978,A burger with cheese and thin-sliced pastrami on top
