Rank,Name,Highest-grossing film,Total domestic box office
1,Steven Spielberg,E.T . the Extra-Terrestrial ( $ 435.1 million ),"$ 4,542,164,603"
2,Michael Bay,Transformers : Revenge of the Fallen ( $ 402.1 million ),"$ 2,326,279,619"
3,Russo brothers,Avengers : Endgame ( $ 854.2 million ),"$ 2,280,821,799"
4,J. J. Abrams,Star Wars : The Force Awakens ( $ 936.6 million ),"$ 2,185,259,572"
5,Peter Jackson,The Lord of the Rings : The Return of the King ( $ 377.8 million ),"$ 2,152,298,031"
6,Ron Howard,How the Grinch Stole Christmas ( $ 260.0 million ),"$ 2,105,111,762"
7,Robert Zemeckis,Forrest Gump ( $ 330.5 million ),"$ 2,103,136,169"
8,Christopher Nolan,The Dark Knight ( $ 535.2 million ),"$ 2,003,864,469"
9,Clint Eastwood,American Sniper ( $ 350.1 million ),"$ 1,980,776,749"
10,James Cameron,Avatar ( $ 2.79 billion ),"$ 4,687,102,841"
