Name,Location,Diameter ( km ),Age ( Ma/millions )
Ames,Oklahoma,16,470 ± 30
Avak,Alaska,12,< 95
Barringer,Arizona,1.19,0.049 ± 0.003
Beaverhead,"Idaho , Montana",60,600
Calvin,Michigan,8.5,450 ± 10
Chesapeake Bay,Virginia,90,35.5 ± 0.3
Cloud Creek,Wyoming,7,190 ± 30
Crooked Creek,Missouri,7,320 ± 80
Decaturville,Missouri,6,< 300
Des Plaines,Illinois,8,< 280
Flynn Creek,Tennessee,3.8,360 ± 20
Glasford,Illinois,4,< 430
Glover Bluff,Wisconsin,8,< 500
Haviland,Kansas,0.015,< 0.001
Kentland,Indiana,13,< 97
Manson,Iowa,35,73.8 ± 0.3
Marquez,Texas,12.7,58 ± 2
Middlesboro,Kentucky,6,< 300
Newporte,North Dakota,3.2,< 500
Odessa,Texas,0.168,< 0.050
