Name,Host,Location,Date Established
The Del Close Marathon,Upright Citizens Brigade Theatre,"New York City , New York",1999
Fracas ! Improv Festival,Second Nature Improv,"Los Angeles , California",2004
Gainesville Improv Festival,"Florida Improv , Inc","Gainesville , Florida",2005
Twin Cities Improv Festival,HUGE Improv Theater & Five Man Job,"Minneapolis , MN",2006
New Zealand Improv Festival,New Zealand Improv Trust,"Wellington , New Zealand",2008
Manila Improv Festival,SPIT & Third World Improv,"Manila , Philippines",2012
Salento Impro Festival,Improvvisart,"Gallipoli , Italy",2010
Welcome International Improv Festival,i Bugiardini,"Rome , Italy",2013
Festival Impulsez,La Bulle Carree,"Toulouse , France",2013
Sweden International Improv Festival,Teater Prego,"Uppsala , Sweden",2015
IMPRONEUF Festival,Les Pigallo-Romains,"Paris , France",2016
Warsaw Improv Festival,Klancyk Foundation,"Warsaw , Poland",2017
Oslo Impro Festival,Impro Neuf,"Oslo , Norway",2017
