Name,Province,"Island Chain , Group , Archipelago"
Ko Nom Sao,Phang Nga,Phang Nga Bay
Ko Kaya,Phang Nga,Phang Nga Bay
Ko Raya Ring,Phang Nga,Phang Nga Bay
Ko Ping Kan,Phang Nga,Phang Nga Bay
Ko Mak,Phang Nga,Phang Nga Bay
Ko Na Khae,Phang Nga,Phang Nga Bay
Ko Tapu,Phang Nga,
Ko Hong,Phang Nga,Phang Nga Bay
Ko Nakaya,Phang Nga,Phang Nga Bay
Ko Nakae,Phang Nga,Phang Nga Bay
Ko Yai,Phang Nga,Phang Nga Bay
Ko Batang,Phang Nga,Phang Nga Bay
Ko Rai,Phang Nga,Phang Nga Bay
Ko Boi Noi,Phang Nga,Phang Nga Bay
Ko Boi Yai,Phang Nga,Phang Nga Bay
Ko Dang,Phang Nga,Phang Nga Bay
Ko Kudu Yai,Phang Nga,Phang Nga Bay
Ko Nui,Phang Nga,Phang Nga Bay
Ko Sup,Phang Nga,Phang Nga Bay
Ko Panyi,Phang Nga,Phang Nga Bay
