Lake,Location,Notes
Awamate Lagoons,Wairoa District,South of Frasertown
Blue Lake,Hastings District,
Hatuma Lake ( Lake Whatumā ),Central Hawke 's Bay District,South of Waipukurau
Hikaka,Wairoa District,Southeast of Lake Waikaremoana
Hine Rere,Wairoa District,Northeast of Lake Waikaremoana
Horseshoe Lake,Central Hawke 's Bay District,West of Elsthorpe
Kaipo Lagoon,Wairoa District,Northeast of Lake Waikaremoana
Lake Horotea,Northeast Rangitikei District,
Lake Kaitawa,Wairoa District,Southeast of Lake Waikaremoana
Lake Kiriopukae,Wairoa District,Southeast of Lake Waikaremoana
Lake Opouahi,Hastings District,
Lake Orakai,Hastings District,South of Lake Tūtira
Lake Pohue,Hastings District,
Lake Poukawa,Hastings District,
Lake Rotongaio,Wairoa District,
Lake Rotonuiaha,Wairoa District,
Lake Rotoroa,Wairoa District,
Lake Ruapani,Wairoa District,Northeast of Lake Waikaremoana
Lake Ruapapa,Wairoa District,
Lake Tamaharau,Wairoa District,
