Name,Promotion,Years Active,Country
Abismo Negro,"AAA , Consejo Mundial de Lucha Libre",1997-2009,Mexico
Abyss,Total Nonstop Action Wrestling,2002-,United States
Agent Orange,Independent circuit,1983,Canada
Aldo Montoya,World Wrestling Federation,1994-1997,United States
American Dragon,New Japan Pro Wrestling,2003-2004,United States
The Apocalypse,Philippine Wrestling Revolution,2014-,Philippines
Arachnaman,World Championship Wrestling,1991-1992,United States
Australian Suicide,Lucha Libre AAA Worldwide,2013-,Australia
Atlantis,Consejo Mundial de Lucha Libre,1983-,Mexico
Avatar,World Wrestling Federation,1995,United States
The Avenger ( original ),Jim Crockett Promotions,1968-1980,Canada
The Avenger,Stampede Wrestling,1986,Canada
Badstreet,World Championship Wrestling,1991,United States
Battle Kat,World Wrestling Federation,1990,United States
Battman,World Wide Wrestling Federation,1966-1970,United States
Beetlejuice,"Pacific Northwest Wrestling , World Championship Wrestling",1988-1990,United States
Big Van Vader,"All Japan Pro Wrestling , New Japan Pro Wrestling , World Championship Wrestling , World Wrestling Federation",1987-2006,United States
Black Blood,World Championship Wrestling,1991,United States
Blitzkrieg,"All Pro Wrestling , World Championship Wrestling",1994-2004,United States
Blue Blazer,World Wrestling Federation,1988-1991 ; 1998-1999,Canada
